Ca_ID,XLOC_ID,1356_AFL_C,1356_AFL_S,1356_AFR_C,1356_AFR_S,1356_BFL_C,1356_BFL_S,1356_BFR_C,1356_BFR_S
Ca_00011,XLOC_000171,0.0,5.33496,0.0,0.0,0.0,1.09402,5.4969,0.0
Ca_00022,XLOC_000180,1.6167,2.10671,0.0,0.0,2.65935,3.10767,2.02141,1.93562
Ca_00024,XLOC_000181,22.4049,12.7499,0.0,0.0,20.4914,24.7621,5.36577,2.20071
Ca_00034,XLOC_001796,28.4445,31.5834,24.7474,41.2224,22.9114,23.3851,39.2233,32.1519
Ca_00039,XLOC_000190,14.1309,8.35627,23.6704,5.17636,18.0651,20.9263,17.2975,15.9892
Ca_00040,XLOC_001799,15.2765,14.3586,16.5554,17.6189,19.0865,13.141,29.8851,20.2384
Ca_00042,XLOC_001800,101.269,167.829,0.0,85.112,97.026,110.349,65.9797,72.2888
Ca_00054,XLOC_000196,10.8504,9.54598,0.0,13.4415,8.34893,5.21042,6.61619,6.99841
Ca_00056,XLOC_001808,46.1488,49.7318,9.09529,12.5868,63.8,121.483,12.1639,17.8834
Ca_00057,XLOC_001808,46.1488,49.7318,9.09529,12.5868,63.8,121.483,12.1639,17.8834
Ca_00060,XLOC_000199,19.0,16.6902,107.59,4.93281,29.7291,30.0816,19.0206,19.2497
Ca_00063,XLOC_000200,11.484,4.46292,66.611,28.4671,7.425,8.32479,18.3314,17.4649
Ca_00070,XLOC_001815,43.864,22.9914,39.2909,31.1819,38.948,34.0415,24.3822,49.462
Ca_00080,XLOC_000210,19.4649,14.4384,0.0,0.0,29.1302,15.9175,8.09619,1.40666
Ca_00085,XLOC_001821,39.7433,84.8384,23.6474,93.8418,44.1675,60.1439,51.6393,96.356
Ca_00092,XLOC_001823,1.47928,2.33737,0.0,0.0,0.0,1.44757,0.0,0.0
Ca_00094,XLOC_001824,3.92408,7.3702,0.0,0.0,0.0,2.55986,0.0,0.0
Ca_00095,XLOC_000221,1.9732,2.93946,23.2793,4.16711,2.83484,1.88423,11.2818,5.53354
Ca_00097,XLOC_001826,201.245,46.2653,164.451,57.459,196.769,69.5631,158.585,160.558
Ca_00101,XLOC_001830,9.09754,16.2946,0.0,0.0,16.0381,62.5366,1.73797,0.0
Ca_00102,XLOC_001831,51.7818,2.56765,19.5848,0.0,3.04473,3.76068,6.13758,7.6926
Ca_00103,XLOC_000222,106.219,157.543,63.811,269.866,180.689,188.435,175.996,227.568
Ca_00104,XLOC_000224,6.70268,3.2867,0.0,0.0,8.14119,6.23462,6.75873,12.3725
Ca_00114,XLOC_000230,2.27993,2.3354,6.19873,7.70025,2.02346,2.37936,4.77233,5.6453
Ca_00115,XLOC_001839,16.326,11.5569,23.7872,21.7105,22.7277,16.9059,17.1365,6.32091
Ca_00121,XLOC_001842,48.1015,113.128,0.0,0.0,57.4618,135.91,23.2798,21.2098
Ca_00124,XLOC_001844,429.744,540.504,58.7274,129.443,553.316,578.218,26.0847,133.435
Ca_00125,XLOC_001844,429.744,540.504,58.7274,129.443,553.316,578.218,26.0847,133.435
