Ca ids,ICC2861_Control,ICC2861_Stress,ICC283_Control,ICC283_Stress
Ca_00001,0.3333333333333333,0.0,0.0,0.0
Ca_00002,2.3333333333333335,2.6666666666666665,0.0,0.0
Ca_00003,48.333333333333336,42.666666666666664,39.0,56.0
Ca_00004,20.666666666666668,15.333333333333334,6.333333333333333,7.0
Ca_00005,199.0,162.66666666666666,31.333333333333332,87.33333333333333
Ca_00006,495.3333333333333,369.3333333333333,303.6666666666667,411.3333333333333
Ca_00007,643.3333333333334,549.0,420.6666666666667,605.6666666666666
Ca_00008,1127.3333333333333,852.3333333333334,771.3333333333334,793.3333333333334
Ca_00009,49.666666666666664,28.0,47.333333333333336,47.0
Ca_00012,142.66666666666666,88.66666666666667,102.0,105.0
Ca_00013,1.0,0.3333333333333333,1.3333333333333333,1.0
Ca_00014,96.0,70.66666666666667,93.0,116.0
Ca_00015,1.0,2.6666666666666665,2.6666666666666665,1.3333333333333333
Ca_00016,155.33333333333334,115.33333333333333,97.33333333333333,107.66666666666667
Ca_00017,155.33333333333334,115.33333333333333,97.33333333333333,107.66666666666667
Ca_00018,114.33333333333333,86.66666666666667,67.66666666666667,75.33333333333333
Ca_00019,3934.3333333333335,3146.6666666666665,2282.3333333333335,3989.0
Ca_00020,0.0,1.3333333333333333,0.0,0.0
Ca_00021,151.66666666666666,94.66666666666667,71.66666666666667,65.66666666666667
Ca_00022,16.666666666666668,10.0,10.333333333333334,11.0
Ca_00023,226.33333333333334,177.33333333333334,134.33333333333334,188.33333333333334
Ca_00025,11.666666666666666,13.333333333333334,9.666666666666666,17.666666666666668
Ca_00026,10640.0,8840.666666666666,8376.0,12459.0
Ca_00027,411.6666666666667,334.3333333333333,272.6666666666667,321.6666666666667
Ca_00028,815.0,577.6666666666666,289.3333333333333,490.6666666666667
Ca_00029,56.333333333333336,50.0,48.333333333333336,43.666666666666664
Ca_00030,613.3333333333334,546.3333333333334,519.3333333333334,584.6666666666666
Ca_00031,50.666666666666664,44.0,30.666666666666668,32.666666666666664
Ca_00032,107.0,90.66666666666667,86.66666666666667,117.33333333333333
Ca_00033,121.0,91.66666666666667,79.0,102.0
Ca_00034,155.33333333333334,94.0,85.66666666666667,124.0
Ca_00035,544.0,546.0,415.3333333333333,584.6666666666666
Ca_00036,342.3333333333333,223.33333333333334,185.33333333333334,348.0
Ca_00037,1122.0,1027.3333333333333,729.0,1136.6666666666667
Ca_00038,646.0,510.3333333333333,619.6666666666666,586.6666666666666
Ca_00039,178.66666666666666,162.0,127.33333333333333,161.33333333333334
Ca_00040,75.33333333333333,44.666666666666664,119.33333333333333,94.33333333333333
Ca_00041,229.33333333333334,188.0,189.66666666666666,206.33333333333334
Ca_00042,770.6666666666666,644.3333333333334,311.6666666666667,567.0
Ca_00043,1.0,0.6666666666666666,0.0,0.0
Ca_00044,464.3333333333333,363.6666666666667,327.3333333333333,476.0
Ca_00045,110.33333333333333,84.66666666666667,90.33333333333333,133.66666666666666
Ca_00046,58.0,54.333333333333336,73.66666666666667,54.333333333333336
Ca_00047,40023.333333333336,43231.0,28238.0,29971.333333333332
Ca_00048,858.3333333333334,672.0,745.0,733.3333333333334
Ca_00049,72.0,60.0,40.0,39.333333333333336
Ca_00050,225.0,176.0,145.66666666666666,203.66666666666666
Ca_00051,89.66666666666667,47.0,24.333333333333332,59.666666666666664
Ca_00052,3695.3333333333335,3228.3333333333335,3546.3333333333335,4434.333333333333
Ca_00053,3695.3333333333335,3228.3333333333335,3546.3333333333335,4434.333333333333
Ca_00054,156.66666666666666,113.66666666666667,130.66666666666666,154.0
Ca_00055,9.666666666666666,3.3333333333333335,8.0,5.666666666666667
Ca_00056,1457.3333333333333,1277.0,1498.6666666666667,1357.6666666666667
Ca_00057,188.33333333333334,143.0,181.0,174.33333333333334
Ca_00058,363.3333333333333,250.66666666666666,234.33333333333334,322.0
Ca_00059,7.333333333333333,4.666666666666667,1.6666666666666667,2.6666666666666665
Ca_00060,452.0,389.0,490.0,560.6666666666666
Ca_00061,3.0,2.0,4.333333333333333,1.0
Ca_00063,126.66666666666667,112.0,146.66666666666666,193.33333333333334
Ca_00064,1303.0,905.0,718.0,855.3333333333334
Ca_00065,216.66666666666666,142.0,93.66666666666667,97.33333333333333
Ca_00066,69.0,55.333333333333336,28.0,36.666666666666664
Ca_00067,262.6666666666667,213.0,193.66666666666666,324.0
Ca_00068,32.666666666666664,40.333333333333336,23.0,21.666666666666668
Ca_00069,369.6666666666667,263.3333333333333,291.6666666666667,311.0
