Ca_ID,XLOC_ID,15614_AFL_C,15614_AFL_S,15614_AFR_C,15614_AFR_S,15614_BFL_C,15614_BFL_S,15614_BFR_C,15614_BFR_S
Ca_00011,XLOC_000171,0.0,4.70518,0.0,0.0,6.49038,6.73099,7.55227,1.46648
Ca_00022,XLOC_000180,1.82538,2.32762,0.0,0.0,4.26767,1.05875,3.21697,1.18733
Ca_00024,XLOC_000181,5.4966,7.51402,0.0,0.0,16.6977,18.0419,7.94466,1.3901
Ca_00034,XLOC_001796,28.7529,35.4579,109.95,14.4702,31.2052,30.9661,36.3533,35.0637
Ca_00039,XLOC_000190,36.1544,13.3353,80.5549,98.1398,29.3948,21.7519,17.8656,25.3648
Ca_00040,XLOC_001799,7.75965,8.31213,48.6963,61.0418,10.2788,11.5868,21.6919,18.9958
Ca_00042,XLOC_001800,98.5042,322.064,0.0,145.804,192.068,266.673,108.469,57.926
Ca_00054,XLOC_000196,4.29719,5.05198,0.0,35.5469,4.93426,5.13219,6.96367,5.91606
Ca_00056,XLOC_001808,74.4618,67.3156,0.0,51.812,65.9959,55.5645,11.4443,14.9331
Ca_00057,XLOC_001808,74.4618,67.3156,0.0,51.812,65.9959,55.5645,11.4443,14.9331
Ca_00060,XLOC_000199,38.0925,27.3319,73.4851,20.7864,35.5081,24.9535,18.1563,24.083
Ca_00063,XLOC_000200,7.95128,4.73211,106.151,19.2684,2.72196,4.29398,17.0391,17.4351
Ca_00070,XLOC_001815,39.8943,42.5585,0.0,52.5743,29.8866,38.6048,32.5799,28.3139
Ca_00080,XLOC_000210,12.7102,8.83931,45.7148,0.0,9.32066,12.2072,7.86191,2.29781
Ca_00085,XLOC_001821,25.0564,110.623,59.9144,0.0,69.9967,109.765,62.0178,72.4228
Ca_00092,XLOC_001823,0.0,2.75948,0.0,0.0,14.5337,2.5272,0.0,0.0
Ca_00094,XLOC_001824,0.0,7.15583,0.0,0.0,21.1299,9.26587,0.0,0.0
Ca_00095,XLOC_000221,1.43944,2.28244,26.991,0.0,1.84805,2.13646,7.77416,5.01372
Ca_00097,XLOC_001826,218.104,126.875,0.0,50.9898,50.1328,106.036,137.96,153.068
Ca_00101,XLOC_001830,86.3359,2.42615,0.0,0.0,3.18516,1.32567,2.71264,0.0
Ca_00102,XLOC_001831,5.72609,2.0784,0.0,32.0367,2.8018,2.59744,2.60632,4.20467
Ca_00103,XLOC_000222,131.106,209.529,125.988,179.881,210.13,244.959,194.99,268.067
Ca_00104,XLOC_000224,3.17973,1.41887,0.0,0.0,5.34319,1.95458,8.96198,1.55337
Ca_00114,XLOC_000230,1.44982,1.564,0.0,14.3316,1.56127,3.09833,5.2414,2.41383
Ca_00115,XLOC_001839,12.2084,13.9882,132.73,28.039,19.9671,9.7306,21.333,2.87833
Ca_00121,XLOC_001842,31.3413,96.4787,0.0,70.8655,120.643,76.5584,25.9338,8.09744
Ca_00124,XLOC_001844,295.628,566.129,60.6145,137.955,418.013,494.897,28.889,37.7476
Ca_00125,XLOC_001844,295.628,566.129,60.6145,137.955,418.013,494.897,28.889,37.7476
Ca_00129,XLOC_000239,8.95135,8.7607,0.0,6.11112,7.74049,8.15917,7.84721,14.229
Ca_00132,XLOC_000242,80.7988,19.9195,0.0,53.8929,41.0248,23.6299,15.2837,26.2921
Ca_00133,XLOC_001849,42.6675,10.446,21.502,74.4342,23.2274,9.99611,65.8699,34.1132
Ca_00136,XLOC_000243,11.2336,19.8459,0.0,0.0,9.06298,13.2399,3.89985,3.21895
Ca_00160,XLOC_001863,22.8407,6.42908,0.0,0.0,16.2868,16.226,34.099,13.5106
Ca_00165,XLOC_001866,0.0,0.0,140.777,27.9541,0.0,0.0,38.6183,53.9377
Ca_00169,XLOC_000262,2.7151,9.86109,75.975,13.0277,7.07913,9.53136,5.83324,5.50081
Ca_00175,XLOC_001871,45.2502,114.226,142.592,49.0386,53.3792,140.403,32.6255,30.1731
Ca_00180,XLOC_000270,10.5648,1.77541,0.0,0.0,6.16255,9.2254,1.3546,2.64977
Ca_00186,XLOC_000274,0.0,0.0,0.0,54.6299,0.0,0.0,15.2306,13.0558
Ca_00195,XLOC_000281,0.0,0.0,0.0,0.0,0.0,0.0,13.3863,0.0
Ca_00196,XLOC_000282,109.768,2.37307,0.0,0.0,55.4514,1.31405,0.0,0.0
Ca_00214,XLOC_000294,3.87048,3.68071,0.0,12.1556,3.35678,3.67528,2.9662,2.03116
Ca_00216,XLOC_001888,7.22737,5.93593,104.664,14.3555,2.36063,3.28902,301.982,502.752
Ca_00224,XLOC_000298,17.5336,19.0075,70.7871,52.0203,17.6384,17.733,21.7817,26.5509
Ca_00229,XLOC_000302,6.63614,1.06683,0.0,0.0,0.0,0.0,4.91315,2.29853
Ca_00232,XLOC_001896,3.56723,1.16824,0.0,0.0,0.0,1.74384,0.0,0.0
Ca_00246,XLOC_000309,7.9058,10.522,0.0,13.6798,9.36155,10.2152,6.07801,6.9853
Ca_00252,XLOC_000310,3.01142,0.0,0.0,0.0,1.89164,0.0,2.52903,0.0
Ca_00255,XLOC_000313,19.7029,10.4918,0.0,0.0,16.6872,21.4003,2.78224,2.08567
Ca_00256,XLOC_001908,18.0854,9.12666,0.0,0.0,5.16792,8.47744,16.8514,33.3205
Ca_00270,XLOC_001915,3.01712,20.8263,0.0,0.0,11.5658,13.8065,3.30948,1.79911
Ca_00276,XLOC_000320,3.36781,2.29544,21.9388,27.2499,7.06709,3.19203,8.29784,11.4854
Ca_00277,XLOC_000320,3.36781,2.29544,21.9388,27.2499,7.06709,3.19203,8.29784,11.4854
Ca_00278,XLOC_001918,29.9015,5.66532,0.0,12.8659,10.3475,6.63598,1.18365,2.41162
Ca_00286,XLOC_000323,1711.19,602.265,533.168,368.054,304.616,679.128,101.417,303.198
Ca_00290,XLOC_000325,66.4866,59.8134,0.0,77.6517,56.9091,70.389,44.9868,49.3719
Ca_00291,XLOC_000326,22.833,5.26962,0.0,0.0,8.90044,8.59614,0.0,0.0
Ca_00292,XLOC_000327,0.0,0.0,0.0,0.0,5.01392,1.24454,0.0,0.0
Ca_00295,XLOC_000329,1.25137,0.0,0.0,0.0,8.8022,2.48015,6.59224,5.06277
Ca_00297,XLOC_000331,167.088,142.151,359.126,67.1048,116.342,131.657,189.948,165.118
Ca_00303,XLOC_001931,38.9554,4.9157,0.0,36.808,6.37467,6.02845,11.4759,4.22868
Ca_00304,XLOC_000336,16.002,9.69703,0.0,34.5581,16.8299,20.3438,3.08454,2.93875
Ca_00307,XLOC_000337,21.5943,26.5776,0.0,39.5345,23.7087,20.698,22.5831,19.0461
Ca_00317,XLOC_000346,28.1629,111.162,0.0,46.923,77.7089,105.564,0.0,0.0
Ca_00318,XLOC_000347,0.0,0.0,0.0,19.9453,0.0,1.3789,4.17223,2.09688
Ca_00320,XLOC_000348,18.3708,5.08871,0.0,0.0,9.60499,4.97826,1.6439,1.12414
Ca_00326,XLOC_000354,1.20091,18.675,0.0,0.0,10.3601,14.7006,14.7356,7.95473
Ca_00327,XLOC_001943,16.3831,20.9113,130.409,114.306,4.21207,17.1459,69.2234,29.5995
Ca_00347,XLOC_001955,1.00092,0.0,17.3107,0.0,1.09919,0.0,1.0398,0.0
Ca_00347,XLOC_001956,4.52047,15.3909,85.7873,17.8063,14.6574,14.8189,10.6972,6.3595
Ca_00353,XLOC_000367,62.8763,14.3863,0.0,0.0,21.9418,17.1861,10.025,4.69088
Ca_00359,XLOC_000371,6.07534,0.0,0.0,0.0,1.83175,1.06723,4.30383,1.56029
Ca_00363,XLOC_001964,0.0,0.0,0.0,7.85709,1.86898,0.0,1.92512,8.9441
Ca_00367,XLOC_000376,6.59341,7.33828,0.0,12.8235,13.896,5.76617,8.47829,3.10478
Ca_00368,XLOC_000377,3.41249,14.1262,0.0,18.4741,7.89525,11.9388,5.80523,7.89118
Ca_00370,XLOC_000378,8.59789,0.0,0.0,0.0,3.42671,1.34831,0.0,0.0
Ca_00374,XLOC_000382,4.32503,3.78711,127.432,18.7307,2.51767,4.37618,44.0159,22.9043
Ca_00375,XLOC_000383,6.05509,5.30534,0.0,44.8012,4.78862,4.0813,29.17,15.6543
Ca_00383,XLOC_000386,537.14,1114.26,0.0,0.0,885.496,952.442,17.2662,4.21807
Ca_00384,XLOC_000387,112.374,20.0594,0.0,0.0,4.57804,16.2961,0.0,0.0
Ca_00385,XLOC_001974,22.9569,15.8751,0.0,0.0,16.7294,14.2516,3.69974,4.32938
Ca_00387,XLOC_001976,0.0,0.0,0.0,19.4814,0.0,0.0,4.19105,4.09769
Ca_00391,XLOC_000391,2.82814,0.0,0.0,0.0,0.0,0.0,2.46297,9.83517
Ca_00392,XLOC_001977,5.25482,0.0,0.0,0.0,1.38581,1.54296,5.64661,6.46721
Ca_00412,XLOC_000402,17.4675,7.84027,0.0,0.0,16.2157,6.7536,9.48582,0.0
Ca_00414,XLOC_001990,27.2983,33.6175,0.0,37.7975,12.1032,16.4499,48.6873,80.3921
Ca_00415,XLOC_000403,7.3865,20.6362,0.0,0.0,13.6341,19.6916,10.8855,2.59627
Ca_00420,XLOC_000405,8.17143,6.30692,423.243,37.4379,2.27454,3.10255,159.597,288.124
Ca_00425,XLOC_000409,13.8637,23.7022,0.0,0.0,13.9432,18.9236,15.5313,6.76122
Ca_00432,XLOC_002001,1.42894,7.90595,0.0,0.0,7.43307,8.80197,2.64957,1.0152
Ca_00435,XLOC_000414,3.11095,10.745,0.0,0.0,12.3586,9.70007,0.0,0.0
Ca_00441,XLOC_000417,6.10516,6.24798,0.0,0.0,19.0656,7.17834,6.14154,7.73668
Ca_00444,XLOC_000420,18.383,13.1012,0.0,11.1625,21.4604,16.1851,22.6469,28.8887
Ca_00445,XLOC_000421,4.32743,9.15621,0.0,0.0,23.867,6.35387,0.0,0.0
Ca_00449,XLOC_002008,4.91673,11.8304,0.0,0.0,8.78389,14.4833,0.0,0.0
Ca_00452,XLOC_000423,48.8133,3.72722,0.0,0.0,3.61494,1.47931,2.74738,2.86944
Ca_00464,XLOC_000429,41.7667,4.48405,0.0,0.0,8.83687,6.93037,7.55964,15.1223
Ca_00467,XLOC_002016,11.0765,17.2279,0.0,19.2159,20.5932,23.169,16.0394,13.4548
Ca_00471,XLOC_000434,175.33,239.889,20.4146,32.005,175.141,245.213,42.6621,12.2054
Ca_00475,XLOC_000437,3.16399,4.43385,0.0,0.0,6.00908,7.71461,1.56958,0.0
Ca_00480,XLOC_000440,1.55175,14.3946,0.0,0.0,6.60708,8.27937,0.0,0.0
Ca_00486,XLOC_000444,4.08254,6.25211,0.0,0.0,3.89476,3.06273,9.82582,7.13676
Ca_00488,XLOC_002026,3.9188,0.0,0.0,54.3767,0.0,0.0,0.0,7.41099
Ca_00490,XLOC_000446,4.16486,6.7533,0.0,0.0,5.3562,0.0,0.0,0.0
Ca_00497,XLOC_002030,2.34216,0.0,0.0,0.0,1.37003,0.0,2.04009,0.0
Ca_00508,XLOC_002036,1.60264,4.497,0.0,9.27539,5.39069,4.11596,9.29864,9.12761
Ca_00512,XLOC_000461,8.17811,15.7008,0.0,0.0,12.199,14.6565,7.53663,5.86518
Ca_00520,XLOC_002041,53.5017,5.3212,0.0,0.0,17.1385,14.0576,0.0,0.0
Ca_00528,XLOC_002045,10.0586,23.1309,0.0,0.0,21.8613,28.8447,10.2661,8.71974
Ca_00535,XLOC_000473,62.3017,20.0234,59.4259,43.753,10.9016,19.1604,29.6765,32.5232
Ca_00536,XLOC_002051,36.2094,17.2003,100.313,22.534,16.1956,20.561,10.335,16.1973
Ca_00551,XLOC_000480,8.39276,1.06474,45.7197,0.0,0.0,0.0,10.4545,2.9165
Ca_00565,XLOC_002066,9.30456,9.72354,0.0,0.0,57.3483,13.3541,15.2418,9.81135
Ca_00580,XLOC_002077,1546.05,2006.89,83.0922,73.3499,2170.71,1853.97,78.2486,42.7428
Ca_00587,XLOC_000493,9.55325,6.41437,44.1514,4.07619,6.9383,6.82579,12.1352,11.0036
Ca_00589,XLOC_000494,13.4272,4.17101,0.0,21.7507,5.60736,3.43357,2.64986,5.8158
Ca_00602,XLOC_002090,1.01275,7.80414,0.0,0.0,1.22054,9.60937,0.0,0.0
Ca_00605,XLOC_002093,43.252,32.5043,0.0,0.0,180.975,51.2019,7.84749,2.10983
Ca_00606,XLOC_002094,8.70217,12.0256,97.2196,19.1702,17.4293,15.4213,13.4785,15.2344
Ca_00611,XLOC_000503,2.17762,17.1901,106.183,58.2596,2.36113,14.5279,24.4784,50.6437
Ca_00612,XLOC_002098,42.204,8.23548,0.0,0.0,16.5033,8.13123,20.1528,25.4443
Ca_00616,XLOC_000506,2.75106,4.50424,0.0,0.0,10.9127,8.60857,4.25304,4.01552
Ca_00619,XLOC_002103,0.0,0.0,0.0,0.0,0.0,0.0,15.4421,7.19949
Ca_00620,XLOC_002099,9.06992,6.5078,0.0,12.4418,2.48297,3.96264,15.5002,17.7101
Ca_00624,XLOC_000511,38.2033,25.295,0.0,64.3191,39.0714,22.732,31.6671,36.4497
Ca_00630,XLOC_000515,11.8536,12.9175,0.0,0.0,23.7873,27.8771,13.8949,10.8899
Ca_00636,XLOC_000521,176.348,66.7299,0.0,29.6233,84.4897,65.5859,22.3715,37.2613
Ca_00641,XLOC_002109,1.80183,7.37614,0.0,0.0,4.80665,4.5225,1.5859,0.0
Ca_00643,XLOC_000525,58.4803,190.957,0.0,39.609,683.951,201.806,69.1087,77.2244
Ca_00646,XLOC_000528,0.0,0.0,0.0,0.0,13.2555,2.02772,0.0,0.0
Ca_00656,XLOC_002115,33.8633,20.185,80.6465,53.5759,13.6141,17.5013,19.2514,44.9788
Ca_00666,XLOC_002120,62.8167,43.7018,97.2442,17.8993,53.7866,35.9942,19.5033,22.8945
Ca_00668,XLOC_002122,1.23507,5.21602,0.0,0.0,8.02271,7.56518,0.0,0.0
Ca_00669,XLOC_000540,108.105,52.5784,76.5429,104.024,50.0096,45.3881,49.4073,47.3835
Ca_00670,XLOC_002123,16.2281,18.0178,60.0567,68.0097,18.7985,21.6089,20.0345,27.4662
Ca_00679,XLOC_002129,64.5332,9.70399,0.0,18.2058,23.0139,6.93654,19.244,10.1516
Ca_00690,XLOC_000548,62.9305,53.1163,0.0,26.5691,49.9999,56.6162,12.6456,2.52319
Ca_00693,XLOC_002137,28.2427,41.6986,0.0,0.0,69.9167,56.3576,11.6932,3.86369
Ca_00695,XLOC_002139,50.9446,33.6623,0.0,49.3589,39.3161,34.605,68.1764,57.0344
Ca_00701,XLOC_002141,41.3524,34.8848,35.2116,38.4845,25.1209,28.1021,47.7169,31.2368
Ca_00704,XLOC_007153,3.93749,26.4854,20.6559,0.0,12.5948,19.0121,8.94062,0.0
Ca_00710,XLOC_007156,75.8755,33.6729,87.9673,42.9618,45.7356,37.7925,38.1801,82.5522
Ca_00712,XLOC_007158,10.1451,1.65138,0.0,11.0826,2.95151,1.46335,0.0,0.0
Ca_00713,XLOC_007159,8.35072,12.7002,58.1714,13.9547,12.8269,12.5925,9.78903,7.36588
Ca_00716,XLOC_007162,4.77682,30.9621,0.0,0.0,19.835,15.9721,2.95722,0.0
Ca_00717,XLOC_007162,4.77682,30.9621,0.0,0.0,19.835,15.9721,2.95722,0.0
Ca_00719,XLOC_008642,0.0,1.54588,0.0,0.0,2.02802,2.20591,3.21869,0.0
Ca_00730,XLOC_007172,12.1997,5.85292,0.0,0.0,5.14101,4.53579,17.4017,40.9655
Ca_00731,XLOC_008649,6.43721,5.62735,0.0,17.2763,5.14445,5.48635,5.98835,6.954
Ca_00732,XLOC_008649,6.43721,5.62735,0.0,17.2763,5.14445,5.48635,5.98835,6.954
Ca_00740,XLOC_007176,2.13138,8.33586,0.0,0.0,26.1712,9.44364,0.0,0.0
Ca_00741,XLOC_007177,14.6053,15.4625,0.0,11.2311,14.6001,14.7516,12.2999,15.9654
Ca_00742,XLOC_008654,12.761,4.68285,0.0,0.0,5.87872,6.21625,5.56833,5.72376
Ca_00749,XLOC_007183,236.559,726.8,269.335,399.454,422.961,614.306,286.182,177.7
Ca_00754,XLOC_008661,1.1878,8.37499,21.9805,0.0,6.30921,8.79616,12.8422,3.15235
Ca_00758,XLOC_007187,8.35017,32.494,0.0,0.0,35.9045,18.913,6.25143,1.37507
Ca_00763,XLOC_008664,66.5953,114.487,0.0,62.5647,103.549,89.7381,56.4607,51.5195
Ca_00766,XLOC_007193,5.18256,0.0,0.0,0.0,1.60048,1.55522,2.68645,2.95703
Ca_00771,XLOC_008669,305.198,261.875,164.924,136.45,273.835,288.276,190.557,192.287
Ca_00772,XLOC_007197,0.0,9.30739,0.0,0.0,8.59566,8.39228,2.33091,0.0
Ca_00779,XLOC_008674,9.72894,13.3153,0.0,0.0,12.7735,13.5221,8.4516,10.8431
Ca_00781,XLOC_008675,3.46553,21.6226,0.0,0.0,26.1127,21.9771,6.94857,5.42137
Ca_00785,XLOC_008678,15.6374,5.74222,0.0,0.0,6.43851,4.79963,0.0,0.0
Ca_00796,XLOC_007209,149.736,185.944,83.4594,95.2445,147.739,148.846,107.776,68.6626
Ca_00801,XLOC_007212,43.256,10.498,0.0,0.0,16.2633,9.43815,4.33487,6.11024
Ca_00803,XLOC_007213,1.34462,15.2672,0.0,0.0,10.8748,14.5793,2.76171,0.0
Ca_00808,XLOC_008689,106.266,206.542,45.5261,14.9644,158.569,183.753,9.22127,14.1831
Ca_00810,XLOC_007215,17.0144,9.94166,0.0,0.0,21.9093,18.9123,5.74861,6.40738
Ca_00812,XLOC_007216,2.25265,8.7178,0.0,0.0,11.7598,9.62931,2.1874,0.0
Ca_00825,XLOC_007226,21.4404,14.4499,0.0,0.0,18.1497,18.5452,15.0562,13.1378
Ca_00826,XLOC_008697,1.25506,5.92231,0.0,0.0,4.33444,4.39713,1.07792,1.19387
Ca_00834,XLOC_007231,4.18376,4.06001,0.0,8.99091,9.34576,4.93251,9.44395,8.96203
Ca_00839,XLOC_008702,1.51389,6.80698,0.0,9.30943,0.0,0.0,0.0,0.0
Ca_00843,XLOC_008705,21.9609,27.7543,265.285,174.511,22.3905,28.0558,95.3767,67.6785
Ca_00859,XLOC_007241,35.5559,18.0035,0.0,43.1174,6.7624,16.2918,11.6342,16.7957
Ca_00869,XLOC_007247,3.68321,2.93148,39.1572,6.10118,3.39425,3.81957,2.73013,2.89078
Ca_00881,XLOC_008725,7.2156,22.32,0.0,0.0,40.2497,25.1661,4.14981,0.0
Ca_00882,XLOC_008726,38.7079,12.4007,0.0,7.21967,31.2171,14.083,0.0,0.0
Ca_00884,XLOC_007254,6.80299,17.1597,0.0,0.0,16.1894,17.2996,6.71599,1.74087
Ca_00885,XLOC_008727,0.0,0.0,0.0,0.0,2.9147,2.45878,0.0,0.0
Ca_00885,XLOC_007254,6.80299,17.1597,0.0,0.0,16.1894,17.2996,6.71599,1.74087
Ca_00890,XLOC_008731,7.09245,7.07214,0.0,249.396,0.0,9.79715,14.9302,113.739
Ca_00891,XLOC_008731,7.09245,7.07214,0.0,249.396,0.0,9.79715,14.9302,113.739
Ca_00892,XLOC_008732,90.5535,81.5891,59.179,11.0829,90.0288,91.1478,35.7119,40.7853
Ca_00893,XLOC_008733,5.76022,1.20976,0.0,0.0,4.2563,2.19243,1.1885,0.0
Ca_00912,XLOC_008745,58.6608,61.4326,83.9606,15.1282,79.5557,60.9554,50.1379,37.3943
Ca_00927,XLOC_008755,53.0068,46.1016,51.1621,0.0,36.6388,43.7338,12.5827,14.3441
Ca_00940,XLOC_007276,230.242,521.479,277.709,145.705,373.724,555.402,213.801,151.941
Ca_00942,XLOC_007277,10.6502,10.582,62.4909,14.6577,9.54998,10.3239,7.72091,9.47246
Ca_00950,XLOC_007280,5.09074,6.03827,486.485,172.435,6.90947,6.68787,135.935,222.693
Ca_00955,XLOC_007285,4.98657,1.07559,0.0,0.0,0.0,0.0,0.0,0.0
Ca_00961,XLOC_008775,38.4089,9.05468,0.0,0.0,9.31607,7.98296,11.9604,12.7078
