Gene_identifier,Root-Control,Root-SS,Shoot-Control,Shoot-SS
Ca_00104,0.0,0.712485,4.03663,0.771872
Ca_00105,15.3631,56.1626,7.64903,7.3653
Ca_00106,37.2631,36.5996,19.1028,23.3043
Ca_00107,33.4929,20.4276,34.5483,31.8384
Ca_00107,1.13819,2.3625,0.855213,1.03159
Ca_00108,0.0,0.424839,2.69658,0.977977
Ca_00109,9.26694,6.17908,6.17801,4.7046
Ca_00110,17.4241,67.4362,0.895263,6.77083
Ca_00111,7.96281,31.4921,0.263324,0.788266
Ca_00112,134.007,109.14,6.54172,7.32343
Ca_00113,220.935,381.681,7.93334,16.0694
Ca_00114,7.90148,99.4663,5.07168,9.49383
Ca_00115,68.7299,87.5844,224.167,183.662
Ca_00116,68.7299,87.5844,224.167,183.662
Ca_00117,30.4777,47.5766,5.77984,6.14642
Ca_00118,1.35083,0.546745,0.167228,0.151127
Ca_00119,1.06147,14.7374,0.680318,0.44605
Ca_00120,48.2978,36.0911,23.1067,22.7915
Ca_00121,16.7871,15.0531,35.1835,31.4544
Ca_00122,16.7871,15.0531,35.1835,31.4544
Ca_00123,52.7013,37.3559,50.7929,39.832
Ca_00124,3.71061,6.07132,15.0112,6.88076
Ca_00125,261.757,341.649,91.9766,128.253
Ca_00126,128.522,63.5649,15.6877,6.49964
Ca_00127,0.0,0.0,0.0,0.0
Ca_00128,0.0,0.0,0.0,0.0
Ca_00129,0.0,0.0,0.0,0.0625778
Ca_00130,1.01731,0.337907,0.0,0.0
Ca_00131,49.2996,37.5074,65.2666,53.3359
Ca_00132,0.590627,1.1797,0.0774772,2.37207
Ca_00133,6.88849,13.176,4.35678,4.77075
Ca_00134,0.1417,1.01148,1.48519,1.03161
Ca_00135,1.80937,3.40007,6.99941,3.1761
Ca_00136,43.243,31.9791,31.4847,30.6489
Ca_00137,8.1355,22.4524,9.0548,9.51826
Ca_00138,27.6572,30.7336,9.83409,6.87932
Ca_00139,13.8921,7.39289,0.137081,0.519486
Ca_00140,49.6118,41.8193,189.996,151.496
Ca_00141,7.73152,7.40964,4.48365,3.07514
Ca_00142,10.8794,8.80617,13.5336,44.4839
Ca_00143,11.1732,26.8116,7.43395,17.7373
Ca_00144,23.5038,27.0756,39.5984,43.8105
Ca_00145,23.5038,27.0756,39.5984,43.8105
Ca_00146,60.8966,82.5195,29.4106,70.2931
Ca_00147,37.3225,23.7577,8.54471,7.90349
Ca_00148,5.12119,6.29815,10.1316,5.49401
Ca_00149,34.0041,45.4452,34.6723,26.3221
Ca_00150,47.1111,61.4552,83.1666,36.4903
Ca_00151,16.2925,18.5182,13.0768,13.713
Ca_00152,68.5932,46.8658,25.8398,19.7415
Ca_00153,9.10766,8.16599,2.42835,1.68358
Ca_00153,21.1382,12.4341,2.64381,2.44907
Ca_00154,28.0342,30.3946,6.9569,10.8089
Ca_00155,34.2184,39.5046,27.9046,39.5373
Ca_00156,6.60469,2.4727,5.63861,3.8455
Ca_00157,62.3327,104.061,41.9512,70.478
Ca_00158,0.0806277,0.277223,0.43219,0.464057
Ca_00159,6.27849,13.6073,5.58652,6.71247
Ca_00160,6.6756,5.31123,5.84074,3.98939
Ca_00161,0.0342705,0.0,0.0532487,0.0536812
Ca_00162,5.8468,14.1167,6.62781,10.759
Ca_00163,8.62102,5.07512,8.05271,7.01889
Ca_00164,11.474,5.12546,12.5062,8.19642
Ca_00165,257.474,187.703,367.935,253.228
Ca_00166,0.0,0.116163,0.116135,0.0873241
Ca_00167,10.1372,45.8158,10.786,12.3829
Ca_00168,4.06303,16.36,4.70159,3.57251
Ca_00169,15.61,17.6831,16.2018,16.3634
Ca_00170,0.995625,3.64251,8.92338,4.87783
Ca_00171,0.995625,3.64251,8.92338,4.87783
Ca_00172,93.0747,69.6028,435.622,292.014
Ca_00173,52.4024,38.6415,35.1727,31.3626
Ca_00174,3.5301,4.29017,7.24386,2.58728
Ca_00175,1.31136,3.87635,16.2105,10.0178
Ca_00176,14.1093,195.752,5.90814,7.03291
Ca_00177,22.8827,268.43,13.3131,10.4632
Ca_00178,167.797,57.0847,87.8074,44.0947
Ca_00179,55.561,61.0318,18.0886,26.4937
Ca_00180,16.3415,15.5704,5.80351,7.39064
Ca_00181,0.702519,0.788646,0.0272535,0.30206
Ca_00182,8.15912,15.9252,5.53873,10.09
Ca_00183,0.646155,2.09578,0.0,0.0
Ca_00184,107.63,78.0783,72.7124,77.5109
Ca_00185,2.60634,15.6792,20.1193,40.2686
Ca_00186,10.8869,32.8036,937.521,695.858
Ca_00187,162.341,471.533,33.6975,40.5825
Ca_00188,162.341,471.533,33.6975,40.5825
Ca_00189,0.649433,1.02853,0.138156,0.77552
Ca_00190,31.8463,28.8958,25.1373,43.2594
Ca_00191,0.527769,0.554902,1.26695,1.06303
Ca_00192,21.1342,20.5078,20.1078,23.1155
Ca_00193,29.7623,33.9791,39.4209,49.3533
Ca_00194,2.53365,2.66642,24.7569,22.9775
Ca_00195,18.6889,33.427,10.4299,30.9504
Ca_00196,41.9818,32.4696,59.5114,51.901
Ca_00197,1.24535,1.9214,2.58725,4.64006
Ca_00198,26.899,21.6013,14.2769,42.171
Ca_00199,74.0453,91.5684,8.02935,9.14645
Ca_00200,13.2509,27.3679,14.7223,20.6174
Ca_00201,53.6387,31.9454,24.4896,48.2928
Ca_00202,28.703,36.1325,85.0863,87.4135
Ca_00203,22.8006,43.9216,28.5735,43.1681
Ca_00204,8.48313,19.0726,10.2069,12.7424
Ca_00205,1.76007,1.65503,2.41711,1.79358
Ca_00206,7.05542,5.91977,65.0796,62.5008
Ca_00207,32.0626,35.7899,77.004,35.1713
Ca_00208,32.0626,35.7899,77.004,35.1713
Ca_00209,9.27854,3.36253,5.4591,28.1648
Ca_00210,37.4077,34.6546,13.0157,25.0419
Ca_00211,18.682,11.2373,27.3361,22.6766
Ca_00212,0.0,0.114528,5.03584,3.11635
Ca_00213,10.4404,6.03599,144.559,132.633
Ca_00214,4.95202,1.4198,62.4404,47.4881
Ca_00215,1.17202,1.52797,15.2424,19.5037
Ca_00216,13.9141,8.58319,22.2068,14.332
Ca_00217,24.7296,58.378,25.415,20.778
Ca_00218,28.4127,28.8285,4.811,12.1126
Ca_00219,4.86753,9.07525,3.91808,6.38965
Ca_00220,16.6855,33.061,25.4706,26.7266
Ca_00221,1.75539,3.16261,0.879174,1.59513
Ca_00222,1042.9,583.403,105.088,224.512
Ca_00223,9.89439,19.5969,9.72855,13.9579
Ca_00224,0.411647,0.624474,1.63258,1.48215
Ca_00225,16.5098,32.251,8.68998,7.57169
Ca_00226,3.84659,4.00517,41.8447,110.783
Ca_00227,182.243,122.961,223.616,177.266
Ca_00228,0.0221629,0.0344954,0.103344,0.0521396
Ca_00229,19.1313,53.8169,7.3444,12.1979
Ca_00230,0.0,0.0872862,0.0,0.0
Ca_00231,18.7445,104.832,34.217,28.3968
Ca_00232,53.7406,46.9608,81.0585,70.2102
Ca_00233,57.3892,154.928,23.9703,68.6302
Ca_00234,57.3892,154.928,23.9703,68.6302
Ca_00235,0.135561,0.078999,0.0181249,0.0198205
Ca_00236,18.5933,19.0889,23.3766,29.3268
Ca_00237,34.4334,64.0334,19.8056,28.6033
Ca_00238,27.8703,31.3262,24.9478,29.0516
Ca_00239,14.8689,19.2122,12.558,13.3166
Ca_00240,3.22037,5.62312,8.20814,15.441
Ca_00241,11.5432,57.8744,17.6099,28.7256
Ca_00241,3.07568,10.5264,9.34284,7.43778
Ca_00242,1.38858,4.59603,2.22061,1.66396
Ca_00243,8.95677,9.46907,11.6331,6.08858
Ca_00244,11.9697,6.83959,10.6771,12.9565
Ca_00245,0.742486,2.91072,1.13432,1.03657
Ca_00246,3.57889,2.94533,5.51219,2.64478
Ca_00247,138.455,93.9862,48.489,63.496
Ca_00248,16.7803,56.3503,10.078,11.7778
Ca_00249,16.7803,56.3503,10.078,11.7778
