Gene_identifier,Root-Control,Root-SS,Shoot-Control,Shoot-SS
Ca_07712,10.1958,8.91155,5.61173,6.48823
Ca_07713,16.5932,9.18985,12.6955,10.8027
Ca_07714,29.8131,19.7841,27.9244,27.8809
Ca_07715,26.0512,22.9104,23.2346,28.887
Ca_07716,26.0512,22.9104,23.2346,28.887
Ca_07717,8.44456,9.59299,23.1555,17.1008
Ca_07718,16.3151,23.9074,10.5286,8.22402
Ca_07719,15.162,11.0268,8.63544,6.9966
Ca_07720,7.6024,3.61978,2.11075,9.2256
Ca_07721,14.0963,11.5014,18.4184,23.7748
Ca_07722,8.00303,4.18242,0.0966571,0.493455
Ca_07723,0.755378,1.39046,0.0782202,0.019448
Ca_07724,0.0,0.0,0.0,0.0
Ca_07725,0.0,0.0,0.0,0.0
Ca_07726,0.0,0.0187491,0.0,0.0
Ca_07727,1.96955,1.00152,1.34367,0.461903
Ca_07728,1.21145,1.1671,1.76285,3.69976
Ca_07729,3.87193,3.52887,14.7676,6.70089
Ca_07730,0.430359,6.71601,0.225298,0.225447
Ca_07731,11.9897,19.2568,7.79636,9.33557
Ca_07732,1.12644,1.15304,0.672371,1.05678
Ca_07733,2.19847,1.5361,1.72596,2.056
Ca_07734,0.0,0.0,0.0,0.111417
Ca_07735,0.0,0.0,0.0174972,0.0527613
Ca_07736,5.93244,15.9283,2.94038,4.06385
Ca_07737,20.0245,9.07586,9.56204,8.09786
Ca_07738,194.518,176.619,63.7303,67.3086
Ca_07739,194.518,176.619,63.7303,67.3086
Ca_07740,14.8762,12.6513,0.888525,1.66626
Ca_07741,0.0,0.0338778,0.227776,0.0340637
Ca_07742,0.98637,2.36935,5.6507,2.44182
Ca_07743,21.723,47.4557,4.72234,12.7298
Ca_07744,33.6811,28.1984,27.9214,41.3729
Ca_07745,29.0828,26.3083,23.8076,24.8026
Ca_07746,185.545,88.5919,123.918,39.7861
Ca_07747,3.28204,10.9679,9.402,26.4138
Ca_07748,44.3222,70.1036,30.1181,47.6961
Ca_07749,10.0176,10.4494,10.6514,12.3946
Ca_07750,3.46343,2.36987,3.69674,4.4571
Ca_07751,6.58166,4.39619,8.18081,9.53339
Ca_07752,61.7383,46.0271,19.7599,32.087
Ca_07753,0.319028,0.253442,3.70338,2.19389
Ca_07754,0.286613,0.0304994,0.0,0.0949304
Ca_07755,2.01231,3.05405,2.17976,2.7814
Ca_07756,19.161,19.4186,19.3938,16.7943
Ca_07757,0.0426009,0.0662775,0.0651304,0.0655515
Ca_07758,12.8939,5.47594,8.01023,4.54805
Ca_07759,26.9623,22.7964,12.736,11.2219
Ca_07760,0.128616,0.117495,0.0165783,0.0
Ca_07761,24.8701,22.2998,14.2975,15.821
Ca_07762,74.3165,49.204,69.3058,85.9551
Ca_07763,0.0,1.40816,0.444779,0.544933
Ca_07764,1.70099,0.054143,0.648421,1.47659
Ca_07765,0.0967188,0.0997439,0.0,0.100979
Ca_07766,44.1274,20.168,20.3321,32.0422
Ca_07767,77.7305,75.1545,17.1929,26.0908
Ca_07768,1.39131,1.30281,2.00103,0.889384
Ca_07769,2.78293,1.20362,3.30073,1.75412
Ca_07770,11.8621,15.7658,9.40972,14.0823
Ca_07771,12.2611,10.6474,13.6185,12.5981
Ca_07772,2.04481,3.82677,10.446,6.91044
Ca_07773,24.8138,22.417,12.0924,21.2216
Ca_07774,2.13549,0.915694,1.69264,0.628694
Ca_07775,3.49071,2.43111,3.49634,2.27691
Ca_07776,0.0,0.028708,0.51024,0.397507
Ca_07777,43.2789,39.6223,41.8731,40.128
Ca_07778,0.113496,1.71563,11.8089,12.3879
Ca_07779,52.2921,45.1926,71.3368,72.0315
Ca_07780,0.0,2.6005,0.163605,0.163066
Ca_07781,19.6939,47.9972,30.2013,36.749
Ca_07782,19.6939,47.9972,30.2013,36.749
Ca_07783,0.0,0.0,0.0,0.0528072
Ca_07784,30.9724,36.9793,21.0246,23.0831
Ca_07785,11.8457,18.6088,37.171,16.8269
Ca_07786,2.98138,1.90258,64.6474,59.1691
Ca_07787,16.4518,14.7557,11.6875,13.9395
Ca_07788,51.4031,20.9617,62.1149,52.5545
Ca_07789,10.0831,10.0198,13.5537,18.2403
Ca_07790,2.81488,0.283504,3.85916,8.40207
Ca_07791,37.6559,27.0091,26.7836,27.5311
Ca_07792,19.0816,10.1793,20.4501,23.6341
Ca_07793,1.40592,1.48255,1.09536,0.42155
Ca_07794,0.823364,3.37023,0.0256989,0.103861
Ca_07795,3.62957,2.849,7.81788,4.30493
Ca_07796,0.0,0.0,0.0446161,0.04535
Ca_07797,5.0685,1.09682,8.54661,5.10469
Ca_07798,1.67144,0.669254,5.13242,2.22144
Ca_07799,29.0666,15.4567,2.28066,2.64875
Ca_07800,19.5929,27.4917,14.2494,18.249
Ca_07801,0.986122,0.646564,2.02722,1.29167
Ca_07802,26.3969,27.5115,2.37261,2.02438
Ca_07803,62.5363,1.72215,1.86955,2.50606
Ca_07804,13.8366,17.6816,18.2644,12.134
Ca_07805,16.4796,28.1771,14.1711,25.4841
Ca_07806,126.556,25.6517,192.591,109.751
Ca_07807,46.3764,21.761,13.9491,9.73811
Ca_07808,0.746962,1.82933,5.5451,2.53715
Ca_07809,0.0,0.498062,0.0998509,15.0696
Ca_07810,131.521,56.6533,94.7086,63.6416
Ca_07811,37.1627,29.6768,16.3875,19.4206
Ca_07812,462.014,126.87,206.488,171.711
Ca_07813,93.1715,57.6799,71.2826,55.6546
Ca_07814,0.0,0.0398755,2.08866,1.6782
Ca_07815,12.6984,11.8483,2.56495,1.65714
Ca_07816,209.294,32.6758,13.5731,13.8258
Ca_07817,3.31541,29.5532,2.07305,2.58258
Ca_07818,2.39888,1.26202,0.733153,0.141666
Ca_07819,3.83862,2.27292,2.7705,2.99895
Ca_07820,51.934,70.0353,27.992,66.1865
Ca_07821,38.5221,13.1415,27.5567,6.42052
Ca_07822,78.4331,57.9409,49.6681,56.8705
Ca_07823,5.94566,14.7596,0.175627,0.180569
Ca_07824,5.20178,5.60816,10.2667,6.51186
Ca_07825,0.0,0.0380983,0.0382174,0.116043
Ca_07826,0.229004,0.272436,0.25254,0.136555
Ca_07827,28.1413,31.9976,21.2115,16.2406
Ca_07828,10.6419,11.0836,12.0871,10.4296
Ca_07829,10.6745,3.66572,6.78772,4.9632
Ca_07830,7.2495,4.07844,1.14817,0.852447
Ca_07831,7.2495,4.07844,1.14817,0.852447
Ca_07832,4.98918,6.17512,13.646,13.4001
Ca_07833,0.393754,0.456242,0.250739,0.225676
Ca_07834,97.2718,52.5694,70.8362,72.2328
Ca_07835,693.483,872.201,686.293,581.049
Ca_07836,68.4307,28.627,30.9772,22.8142
Ca_07837,1.93775,0.642026,2.4385,1.69654
Ca_07838,0.0855182,0.907499,0.131345,0.0
Ca_07839,11.4409,2.80579,4.94358,6.90781
Ca_07840,4.71773,55.8892,0.69211,0.754052
Ca_07841,0.0489762,0.262091,0.18597,0.0376223
Ca_07842,0.19059,30.5481,0.276832,0.247806
Ca_07843,0.0,0.0,0.0233496,0.046828
Ca_07844,22.6032,29.2033,46.7745,34.8696
Ca_07845,241.85,139.118,193.232,221.655
Ca_07846,19.6024,22.1577,64.789,59.4578
Ca_07847,0.220983,0.16751,0.33384,0.337237
Ca_07848,0.80837,2.82119,133.758,66.657
Ca_07849,102.424,263.549,23.3401,51.2483
Ca_07850,112.35,48.7498,15.9462,12.4689
Ca_07851,29.3968,41.7729,27.2335,38.6559
Ca_07852,8.02746,13.4314,0.0400073,0.204801
Ca_07853,7.70662,2.04883,9.80327,6.39239
Ca_07854,26.6545,17.6071,113.878,116.098
Ca_07855,17.2874,9.49456,344.07,185.04
Ca_07856,19.3101,4.45354,3.68981,4.21698
Ca_07857,0.0,0.136531,0.135694,0.206263
Ca_07858,10.4488,11.6878,12.5069,6.08836
Ca_07859,10.4488,11.6878,12.5069,6.08836
Ca_07860,31.6255,16.3921,20.7709,14.9058
Ca_07861,234.775,105.385,0.0710825,0.395348
Ca_07862,135.183,72.5247,30.1696,39.1799
Ca_07863,54.2942,167.98,8.98975,26.7238
Ca_07864,90.0966,66.8869,76.1658,63.489
Ca_07865,155.904,73.477,207.771,143.204
Ca_07866,0.0,0.0,0.0404232,0.0834541
Ca_07867,17.8995,17.4269,20.5221,24.2014
Ca_07868,11.9709,15.0656,8.44218,12.2325
Ca_07869,8.91391,6.30374,13.7085,7.59909
Ca_07870,102.739,69.1208,71.3595,186.408
Ca_07871,47.6942,20.0289,32.7011,39.1098
Ca_07872,6.72465,7.91824,5.84151,6.46551
Ca_07873,14.2827,9.81491,11.0216,7.53574
Ca_07874,8.22803,4.05193,4.57387,4.71458
Ca_07875,0.0,0.0,0.0,0.0
Ca_07876,17.0995,49.592,0.624878,1.69436
Ca_07877,2.79815,4.03712,7.45802,3.82184
Ca_07878,16.6544,16.8503,7.82848,7.18454
Ca_07879,1.09398,1.32889,1.56795,1.07665
Ca_07880,61.7526,42.9966,79.7623,55.8353
Ca_07881,0.739611,3.84677,1.6606,1.83821
Ca_07881,51.1088,40.455,60.2382,42.9144
Ca_07882,19.8631,13.6321,21.8597,15.8921
Ca_07883,7.97459,17.0694,7.75774,12.0994
Ca_07884,0.479674,0.160716,0.162847,0.0
Ca_07885,16.1751,8.89044,8.69582,4.75193
Ca_07886,36.8185,36.2569,29.9159,35.8781
Ca_07887,1.31715,7.58864,1.4455,1.1485
Ca_07888,3.06138,9.36467,2.75037,3.05867
Ca_07889,0.944165,0.573354,691.98,322.979
Ca_07890,33.5489,61.2755,2.34305,1.6386
Ca_07891,211.064,189.247,0.028681,0.144474
Ca_07892,102.238,201.667,29.6411,33.8091
Ca_07893,15.5383,4.20722,4.02626,3.50519
Ca_07894,0.689971,0.121465,2612.33,1259.84
Ca_07895,94.7473,66.733,2.63739,2.3654
Ca_07896,322.262,82.5044,95.6339,50.1897
Ca_07897,0.0,0.0,0.0436252,0.0
Ca_07898,5.10741,4.67999,6.74563,4.88535
Ca_07899,0.0,0.237878,0.0,0.0
Ca_07900,1.92362,1.31529,0.0213932,0.173223
Ca_07901,25.8151,46.3296,16.9139,29.0929
Ca_07902,19.8492,168.789,7.52963,25.9385
Ca_07903,59.2094,77.4611,22.2591,58.196
Ca_07904,10.0172,7.24152,0.0241965,0.339927
Ca_07905,46.2086,22.5307,6.72009,32.8488
Ca_07906,55.5254,328.765,27.2063,53.7322
Ca_07907,16.9437,8.52303,0.0928192,0.470776
Ca_07908,16.6696,14.8922,35.3699,35.0887
Ca_07909,164.162,88.7682,52.0374,69.1752
Ca_07910,0.458928,0.459013,0.457824,0.943465
Ca_07911,13.0192,17.0697,8.40506,11.024
Ca_07912,73.6905,107.233,12.5329,13.3181
Ca_07913,8.00139,28.1341,8.87631,15.9882
Ca_07914,21.449,14.5782,9.61236,13.2136
Ca_07915,10.2029,1.7556,2.44657,2.89487
Ca_07916,13.9608,17.7285,14.4134,11.8852
Ca_07917,28.4518,14.073,22.1075,19.418
Ca_07918,15.4064,36.7921,13.1494,24.8567
Ca_07919,13.794,1259.64,28.7265,41.4886
Ca_07920,55.1756,22.4222,37.1844,48.7059
Ca_07921,180.028,144.314,103.875,115.944
Ca_07922,180.028,144.314,103.875,115.944
Ca_07923,7.4967,54.7652,30.2469,22.5404
Ca_07924,24.6964,10.3282,0.781077,4.86675
Ca_07925,24.6964,10.3282,0.781077,4.86675
Ca_07926,1.09053,0.425147,0.0251509,0.294678
Ca_07927,53.9757,37.1775,74.8893,57.1843
Ca_07928,85.1726,43.2742,97.7201,73.442
Ca_07929,0.193881,1.41196,0.0372939,0.225685
Ca_07930,32.0982,15.2241,37.7464,25.7816
Ca_07931,20.0076,57.5221,8.35666,12.4615
Ca_07932,20.0076,57.5221,8.35666,12.4615
Ca_07933,101.659,33.3449,115.601,61.4365
Ca_07934,11.4443,10.7454,8.36232,11.0041
Ca_07935,24.9832,18.7558,10.4975,15.8729
Ca_07936,109.221,89.5728,44.5373,52.8978
Ca_07937,48.1768,56.2939,50.1955,47.4019
Ca_07938,82.7978,224.824,25.49,47.6582
Ca_07939,278.121,30.4246,46.9697,21.3161
Ca_07940,14.446,25.5128,9.29304,27.0825
Ca_07941,44.9181,23.3732,34.021,27.1505
Ca_07942,5.77637,3.42658,12.0955,15.8949
Ca_07943,120.097,63.8442,120.201,100.335
Ca_07944,3.67381,10.8273,6.11405,6.21501
Ca_07945,30.9721,52.9776,17.1238,28.3697
Ca_07946,1.32046,1.68049,4.68662,1.7226
Ca_07947,34.0262,31.6305,20.6406,24.2362
Ca_07948,0.101908,0.0790077,0.317904,0.23858
Ca_07949,9.7623,10.0314,15.6275,20.0228
Ca_07950,71.3866,215.493,15.7881,17.3621
Ca_07951,38.1171,10.3481,12.681,5.00052
Ca_07952,1.79709,3.18023,12.8233,8.0782
Ca_07953,43.2422,58.6063,64.9913,58.986
Ca_07954,14.0112,6.45097,21.1874,13.2714
Ca_07955,3.61282,3.06209,19.8446,9.19397
Ca_07956,14.2471,22.451,15.7963,26.0593
Ca_07957,32.3466,27.4523,23.5382,21.211
Ca_07958,14.913,21.1241,15.8779,22.5087
Ca_07959,0.5097,6.7824,1.2339,46.352
Ca_07960,13.2286,15.1259,11.89,20.0363
Ca_07961,179.858,106.6,59.7531,62.8494
Ca_07962,17.8282,25.157,20.1865,24.6563
Ca_07963,7.70517,6.79716,2.30131,5.16455
Ca_07964,0.0639898,0.0484903,0.148177,0.200981
Ca_07965,0.0394647,0.195602,0.28963,0.492306
Ca_07966,222.298,287.801,149.529,322.108
Ca_07967,1.75573,1.00532,8.5579,7.9056
Ca_07968,16.1733,8.8981,305.428,251.599
Ca_07969,0.0883832,0.359036,0.374181,1.18479
Ca_07970,3.47699,2.57307,25.6315,34.8185
Ca_07971,12.5798,13.0408,18.8697,22.2507
Ca_07972,39.2939,35.5014,37.2142,41.2331
Ca_07973,48.7207,5.43284,49.5372,32.7191
Ca_07974,0.441112,0.0344851,0.0349528,5.91513
Ca_07975,3.47737,4.04182,11.7436,9.28845
Ca_07976,0.0,0.0402077,167.248,174.629
Ca_07977,19.1071,63.8459,19.5102,20.9359
Ca_07978,0.120429,1.25329,51.5246,33.8194
Ca_07979,8.75473,4.78497,12.911,7.72207
Ca_07980,11.3834,13.6657,13.7445,26.8936
Ca_07981,2.09755,0.87398,1.1376,0.963292
Ca_07982,9.27286,7.87256,9.08712,12.019
Ca_07983,1.83505,4.39364,10.8174,6.14085
Ca_07984,337.453,355.033,333.529,459.299
Ca_07985,0.0714874,0.772933,0.499088,0.307251
Ca_07986,0.0,28.3826,0.0,0.227515
Ca_07987,1.11574,0.870512,1.13342,10.8847
Ca_07988,13.2447,7.86631,10.2226,6.76003
Ca_07989,17.8178,14.0181,25.7213,24.0896
Ca_07990,0.160152,0.201208,0.588084,0.202563
Ca_07991,11.7598,8.75369,20.4502,16.5359
Ca_07992,3.65175,3.1304,6.92957,3.43372
Ca_07993,20.7201,14.375,31.5655,27.5357
Ca_07994,2.13069,3.28599,4.78757,5.51701
Ca_07995,68.1237,37.3502,25.783,29.8622
Ca_07996,0.0203839,1.42938,0.889966,0.484825
Ca_07997,0.666689,0.355511,11.2878,6.19579
Ca_07998,14.7334,9.52942,30.5561,26.0084
Ca_07999,0.163232,0.0,11.6292,14.0439
Ca_08000,9.53374,7.07632,19.3519,19.7307
Ca_08001,34.1319,20.7667,31.5045,26.9776
Ca_08002,8.36245,12.8472,16.4554,14.106
Ca_08003,10.1095,3.687,32.6075,26.6617
Ca_08004,126.855,66.6545,93.3249,98.9012
Ca_08005,5.10661,15.7295,1.89568,5.78531
Ca_08006,0.110677,3.29297,8.53551,4.43055
Ca_08007,36.8803,52.9484,39.6605,56.31
Ca_08008,33.3642,26.4115,37.5814,26.9341
Ca_08009,2.55928,1.55915,3.31508,1.05599
Ca_08010,11.5194,8.05189,17.4509,11.0806
Ca_08011,41.8226,29.0696,54.9976,61.6356
Ca_08012,47.104,35.1077,39.3013,43.8422
Ca_08013,47.104,35.1077,39.3013,43.8422
Ca_08014,15.3001,12.4594,71.4675,66.5892
Ca_08015,5.65105,6.09188,7.28578,7.51425
Ca_08016,0.888209,0.532063,28.2768,20.2497
Ca_08017,48.9222,50.1555,23.5307,28.6897
Ca_08018,0.22481,0.598898,1.12187,1.04175
Ca_08019,11.3884,13.9359,16.9074,18.6567
Ca_08020,0.209652,0.622893,0.520256,0.557421
Ca_08021,24.3209,24.9784,23.7411,28.8626
Ca_08022,2.10828,0.846831,0.0399721,0.0
Ca_08023,23.8695,20.1299,0.137951,0.0932364
Ca_08024,19.1178,42.3424,3.96696,7.46827
Ca_08025,0.0456302,0.127136,0.0184067,0.018296
Ca_08026,15.5203,30.5869,9.99856,19.4503
Ca_08027,10.7558,18.1912,11.9521,13.7716
Ca_08028,0.0,0.0,0.0,0.0513166
Ca_08029,127.439,57.1694,20.223,19.8188
Ca_08030,18.7389,46.5889,0.484484,4.24042
Ca_08031,2.18193,2.87633,3.85051,5.02059
Ca_08032,7.99365,1.67014,9.02311,4.03448
Ca_08033,9.79176,11.5785,22.9819,22.5769
Ca_08034,89.459,17.561,31.3711,47.2844
Ca_08035,20.4563,8.85017,10.8443,14.3862
Ca_08036,3.22053,1.15173,0.2006,0.455643
Ca_08037,10.5325,8.88346,3.29247,4.06939
Ca_08038,0.273668,0.297101,7.2385,4.87299
Ca_08039,4.80213,2.04578,88.7839,31.2161
Ca_08040,0.0,0.0,0.0,0.0
Ca_08041,7.34158,14.8536,7.14606,11.5865
Ca_08042,3.38726,3.85915,4.4291,10.793
Ca_08043,1.06481,2.07468,3.20776,4.34477
Ca_08044,4.75013,3.04108,9.66119,13.9396
Ca_08044,0.336721,0.286127,0.515905,0.994207
Ca_08045,20.0999,23.1316,14.6874,16.1501
Ca_08046,0.0,0.0608702,0.0,0.0
Ca_08047,0.0700012,0.0541529,4.46028,2.72061
Ca_08048,37.1512,10.5802,57.0224,34.1307
Ca_08049,37.1512,10.5802,57.0224,34.1307
Ca_08050,30.6947,37.389,28.5173,20.6188
Ca_08051,44.139,9.69547,28.3993,63.3144
Ca_08052,8.79262,9.20532,5.2134,11.6108
Ca_08053,84.0253,415.712,6.48468,11.7882
Ca_08054,125.187,52.918,78.7188,88.0859
Ca_08055,27.5545,39.6305,23.2877,43.1831
Ca_08056,0.040675,1.31901,0.660952,0.737446
Ca_08057,115.835,86.5603,111.961,103.064
Ca_08058,26.4484,17.0581,107.258,108.261
Ca_08059,12.8872,7.74665,33.4502,40.7765
Ca_08060,9.31397,10.4283,21.7358,20.8979
Ca_08061,9.31397,10.4283,21.7358,20.8979
Ca_08062,26.8823,16.5545,196.399,165.919
Ca_08063,88.671,63.2369,52.2873,58.6025
Ca_08064,0.0,0.0,0.0,0.0
Ca_08065,63.8056,48.4971,36.7541,46.1924
Ca_08066,10.3361,9.21005,9.82404,8.71888
Ca_08067,82.9252,53.9123,99.7014,109.623
Ca_08068,11.2492,14.2465,13.6774,10.0272
Ca_08069,14.8003,22.619,9.50947,12.7624
Ca_08070,454.879,244.667,296.894,280.321
Ca_08071,6.17154,6.53795,18.0169,8.68387
Ca_08072,39.2911,52.1475,35.945,30.7117
Ca_08073,19.4153,25.5661,3.59334,7.44381
Ca_08074,0.490157,7.32365,0.523776,1.35378
Ca_08074,14.3527,75.2946,74.8276,76.6146
Ca_08075,3.67889,13.6839,6.64928,46.0145
Ca_08076,10.0213,13.9226,8.48284,10.9862
Ca_08077,57.9858,92.9107,143.562,74.9006
Ca_08078,36.0392,19.6237,30.0445,34.1351
Ca_08079,21.1145,12.2881,14.1526,13.5277
Ca_08080,7.39576,1.24249,154.765,174.814
Ca_08081,25.2668,29.7581,20.3129,28.514
Ca_08082,16.5403,11.7375,14.6834,13.9317
Ca_08083,0.0,0.0,0.0,0.0
Ca_08084,0.0,0.0,0.0,0.0
Ca_08085,0.0,0.0,0.0,0.0
Ca_08086,33.5207,25.3693,28.5815,28.2792
Ca_08087,2.55602,1.45102,1.69831,3.49348
Ca_08088,42.4826,27.33,36.245,30.5635
Ca_08089,42.4826,27.33,36.245,30.5635
Ca_08090,11.4393,7.73387,9.19199,8.4031
Ca_08091,22.7835,11.7105,13.7599,12.9009
Ca_08092,9.54858,11.5094,52.2715,30.883
Ca_08093,2.74048,2.63416,0.0,0.0
Ca_08094,8.93628,11.5108,3.79962,4.95085
Ca_08095,1.30574,0.250137,0.249299,0.251287
Ca_08096,50.3744,22.7299,30.9446,29.1798
Ca_08097,1.30664,2.50259,1.2131,8.61687
Ca_08098,0.0534783,0.315629,0.172862,0.173044
Ca_08099,4.77834,16.5184,9.0379,12.5515
Ca_08100,26.657,73.5619,40.3793,58.6484
Ca_08101,16.9273,11.2375,3.00872,4.9841
Ca_08102,3.6904,3.40103,51.1465,43.6469
Ca_08103,0.0,0.0,6.21357,2.49765
Ca_08104,2.36115,0.100175,0.0,0.0334771
Ca_08105,8.85483,5.13645,6.87901,4.54733
Ca_08106,13.9948,7.32129,0.0,0.0951845
Ca_08107,14.2999,15.6494,18.522,16.0174
Ca_08108,0.60922,1.61389,0.385038,0.275342
Ca_08109,45.4208,88.0061,2.34715,0.710285
Ca_08110,1.55327,2.36378,0.0,0.103767
Ca_08111,108.096,51.5699,631.616,545.878
Ca_08112,14.6893,1.99132,12.3775,17.7795
Ca_08113,10.4007,11.0909,14.2458,9.38644
Ca_08114,5.59805,8.29102,31.3718,13.9857
Ca_08115,0.0,0.0,0.218284,0.0
Ca_08116,7.29818,5.15477,18.8416,6.99412
Ca_08117,46.9046,14.155,131.077,95.3739
Ca_08118,0.725071,1.9613,2.70335,4.60505
Ca_08119,50.5778,58.5472,28.3259,24.405
Ca_08120,1.69895,2.13673,6.29863,4.40231
Ca_08121,0.0,0.0,0.0,0.0
Ca_08122,0.0,0.0,0.0,0.0
Ca_08123,0.0,0.0,0.0,0.0
Ca_08124,0.0,0.0,0.0,0.0
Ca_08125,0.0,0.0,0.0,0.0
Ca_08126,0.0,0.0,0.0,0.0
Ca_08127,0.0,0.0,0.0,0.0
Ca_08128,0.0,0.0,0.0,0.0
Ca_08129,0.0,0.0,0.0,0.0
Ca_08130,0.0,0.0,0.0,0.0
Ca_08131,0.0,0.0,0.0,0.0
Ca_08132,0.0,0.0,0.0,0.0
Ca_08133,0.0,0.0,0.0,0.0
Ca_08134,0.0,0.0,0.0,0.0
Ca_08135,0.0,0.0,0.0,0.0
Ca_08136,0.0,0.0,0.0,0.0
Ca_08137,0.0,0.0,0.0,0.0
Ca_08138,0.0,0.0,0.0,0.0
Ca_08139,0.0,0.0,0.0,0.0
Ca_08140,4.39026,0.814912,4.12917,1.10111
Ca_08141,0.440255,0.897684,4.63537,4.1608
Ca_08142,8.97628,8.525,0.89342,2.30855
Ca_08143,10.8574,20.3782,9.14812,14.7551
Ca_08144,36.9896,115.606,11.8547,21.3067
Ca_08145,44.0316,23.0009,59.8637,69.6371
Ca_08146,31.4184,42.2231,16.455,30.075
Ca_08147,0.0744021,0.171901,0.201456,0.233731
Ca_08148,19.6234,59.5325,17.7883,36.4826
Ca_08149,6.26321,601.465,15.4098,16.9515
Ca_08150,60.9147,52.7775,61.686,54.1709
Ca_08151,63.2303,18.9958,77.3194,51.3148
Ca_08152,38.88,33.5696,414.153,197.833
Ca_08153,10.9673,16.4688,4.43088,4.87163
Ca_08154,1.57292,0.426196,0.168455,0.0603498
Ca_08155,10.1938,14.0005,53.965,58.7042
Ca_08156,12.3651,75.0512,0.0,0.0664099
Ca_08157,3.38385,2.20526,2.41088,3.95522
Ca_08158,8.6831,3.79159,269.351,322.486
Ca_08159,31.4976,18.1738,30.1277,26.93
Ca_08160,7.1212,3.64026,1.14349,1.09622
Ca_08161,6.41853,1.24524,8.7341,12.0843
Ca_08162,4.46359,4.49463,9.96615,18.1373
Ca_08163,2762.87,1055.24,241.571,314.906
Ca_08164,1.0318,2.97301,4.22506,2.6159
Ca_08165,67.911,41.3419,87.8298,55.3486
Ca_08166,62.4208,60.3893,58.1306,53.08
Ca_08167,4.35021,7.63978,1.99741,4.90603
Ca_08168,21.72,37.9281,9.51612,22.7809
Ca_08169,13.7569,18.0271,29.5144,33.2985
Ca_08170,12.7268,20.2679,22.2199,21.3089
Ca_08171,0.0,0.0,0.0,0.0
Ca_08172,10.6202,14.6785,6.0088,5.6735
Ca_08173,0.347562,0.434785,0.0511977,0.0341767
Ca_08174,3.57425,1.09142,0.3583,0.121645
Ca_08175,12.5123,5.61454,15.6477,10.9865
Ca_08176,114.144,241.804,12.764,157.664
Ca_08177,4.76298,6.14687,2.82204,4.01421
Ca_08178,24.3874,25.3563,38.469,38.475
Ca_08179,151.676,123.911,32.191,34.7269
Ca_08180,151.676,123.911,32.191,34.7269
Ca_08181,121.758,398.099,113.718,152.263
Ca_08182,87.9567,87.6123,52.0969,68.0971
Ca_08183,2.91391,0.355726,0.041554,0.220695
Ca_08184,0.0,0.0,0.0,0.0
Ca_08185,6.28975,18.2741,7.56563,10.6057
Ca_08186,0.332284,0.207679,9.41645,3.99233
Ca_08187,8.70226,15.6715,12.6144,12.7651
Ca_08188,0.0,0.0,0.109341,0.0220615
Ca_08189,16.9471,28.3181,22.2126,28.2172
Ca_08190,1.02018,1.12649,1.21001,0.292236
Ca_08191,14.3818,8.8707,14.9294,14.2339
Ca_08192,32.1002,93.2269,39.4301,37.0183
Ca_08193,17.9315,2.19168,1.20946,0.529037
Ca_08194,156.662,135.158,46.2993,49.6964
Ca_08195,0.254487,6.50368,0.0675555,0.443522
Ca_08196,0.251956,0.117532,6.45297,5.19301
Ca_08197,4.65404,2.88715,5.79179,3.46718
Ca_08198,6.11089,7.89717,8.79369,7.28285
Ca_08199,83.8741,90.6519,35.7827,49.3373
Ca_08200,7.42794,44.9984,10.9229,42.9174
Ca_08201,26.7371,39.4772,7.06155,7.24471
Ca_08202,26.7371,39.4772,7.06155,7.24471
Ca_08203,1.69961,9.01955,0.363718,2.24935
Ca_08204,26.7371,39.4772,7.06155,7.24471
Ca_08205,10.8074,11.0352,21.9091,19.2443
Ca_08206,8.71189,12.0943,18.8116,7.87229
Ca_08207,2.22271,3.35875,1.63511,2.87679
Ca_08207,0.226543,1.33824,3.53194,139.647
Ca_08208,0.279638,20.6739,1.64479,2.66491
Ca_08209,5.71985,34.4684,9.72085,33.437
Ca_08210,23.5084,45.2955,18.7043,27.6716
Ca_08211,3.32814,7.5855,4.21848,2.52475
Ca_08212,15.4446,27.4463,13.3135,14.8811
Ca_08213,34.3915,39.7385,13.0716,13.2708
Ca_08214,5.97135,12.502,28.714,17.3243
Ca_08215,36.9121,64.0904,12.6232,13.6266
Ca_08216,50.6251,25.1282,19.3303,20.6523
Ca_08217,8.96955,6.46464,4.36021,3.78274
Ca_08218,2.52101,3.06476,4.70881,3.80029
Ca_08219,2.43214,1.74336,1.778,1.09303
Ca_08220,7.38339,4.17078,9.62669,4.63334
Ca_08221,1.19691,6.7372,4.59045,9.20108
Ca_08222,9.85672,18.4846,15.72,20.1235
Ca_08223,3.96801,4.05313,8.48432,5.87122
Ca_08224,40.4305,42.0087,12.5008,38.9405
Ca_08225,170.702,103.285,192.394,198.749
Ca_08226,24.2088,27.9145,18.6169,35.6104
Ca_08227,3.56773,22.1222,0.107738,1.06425
Ca_08228,22.8304,75.3279,21.0935,202.958
Ca_08229,2.02851,3.36805,0.244938,0.670385
Ca_08230,52.1988,21.815,88.3556,72.7852
Ca_08231,52.1988,21.815,88.3556,72.7852
Ca_08232,0.630987,7.53199,2.06795,2.10387
Ca_08233,14.9396,18.5201,30.6538,22.1423
Ca_08234,64.1912,56.3807,67.7755,29.9714
Ca_08235,154.052,84.6729,25.9882,30.648
Ca_08236,0.0,0.0,0.0,0.0
Ca_08237,4.62718,3.9855,14.8515,27.939
