Test-id,Gene,FPKM-SS-C,FPKM-SS-S,FPKM-ST-C,FPKM-ST-S
XLOC_000139,Ca_00001,0.0,0.0,0.0,0.0
XLOC_000140,Ca_00002,0.0,0.0,0.0,0.0
XLOC_000141,Ca_00003,35.458,31.2214,30.8502,32.4652
XLOC_001744,Ca_00004,18.5211,18.9441,24.0934,8.84291
XLOC_001745,Ca_00005,0.0,0.0,0.0,0.0
XLOC_000142,Ca_00006,56.3438,57.1914,54.4299,55.0836
XLOC_000143,Ca_00007,34.2146,30.847,36.3907,35.2825
XLOC_001746,Ca_00008,21.5477,20.3232,16.7354,23.0703
XLOC_001747,Ca_00009,8.17489,9.67445,5.48567,7.98606
XLOC_000144,Ca_00010,47.5965,52.0429,50.5367,52.7028
XLOC_000145,Ca_00011,25.7439,26.5626,24.5704,26.3915
XLOC_000146,Ca_00012,64.198,66.6157,61.1514,76.4722
XLOC_000147,Ca_00013,0.226,0.278239,0.0603304,0.333579
XLOC_000148,Ca_00014,10.8811,7.42857,17.5132,15.7778
XLOC_000149,Ca_00015,0.112367,0.0792264,0.212987,0.206664
XLOC_000150,Ca_00016,11.3752,8.49544,11.6924,13.4217
XLOC_000151,Ca_00017,14.6859,14.4771,16.6643,17.0703
XLOC_001749,Ca_00018,31.6318,33.1238,28.5164,28.7466
XLOC_000152,Ca_00019,411.061,433.779,470.279,493.01
XLOC_000153,Ca_00020,0.0,0.0,0.0401408,0.0224859
XLOC_001750,Ca_00021,15.5953,14.767,11.825,11.6429
XLOC_000154,Ca_00022,10.1948,13.0088,9.70784,13.047
XLOC_001751,Ca_00023,16.6242,16.1508,17.6628,16.2634
XLOC_000155,Ca_00024,32.7529,25.2184,24.6905,23.8562
XLOC_000156,Ca_00025,1.60877,0.73156,1.5117,0.818579
XLOC_001752,Ca_00026,86.5735,87.686,88.5977,103.837
XLOC_001753,Ca_00027,50.3777,48.7471,47.766,51.6432
XLOC_000157,Ca_00028,75.052,71.0813,73.3879,73.5864
XLOC_001754,Ca_00029,6.3036,6.52313,6.56609,6.1402
XLOC_001755,Ca_00030,37.8906,35.098,36.8892,38.865
XLOC_000158,Ca_00031,8.46422,7.53494,8.03659,8.94757
XLOC_001756,Ca_00032,7.85363,6.86097,8.48936,7.99576
XLOC_000159,Ca_00033,15.4968,15.904,14.3412,14.2128
XLOC_001757,Ca_00034,81.2163,82.3583,71.9202,68.9474
XLOC_000160,Ca_00035,20.2023,21.2184,17.0924,18.1388
XLOC_001758,Ca_00036,19.6743,19.4953,26.7761,24.4411
XLOC_001759,Ca_00037,39.7218,41.5461,38.0599,41.1183
XLOC_000161,Ca_00038,52.7572,50.5246,50.1215,51.2182
XLOC_000162,Ca_00039,34.6714,31.453,30.9393,34.7319
XLOC_001761,Ca_00040,57.5829,57.858,50.0946,68.0788
XLOC_000163,Ca_00041,22.3801,21.8607,22.0821,20.6603
XLOC_001760,Ca_00042,278.123,271.861,307.862,284.572
XLOC_000164,Ca_00043,0.084489,0.099327,0.0,0.0495532
XLOC_001762,Ca_00044,23.5995,22.7126,22.6255,22.5079
XLOC_001763,Ca_00045,40.3823,37.8408,43.3924,40.9915
XLOC_000165,Ca_00046,3.43521,3.15184,4.61145,2.91545
XLOC_001764,Ca_00047,21.6985,26.5284,34.4471,40.6574
XLOC_001765,Ca_00048,88.3604,94.5673,87.3638,87.869
XLOC_000166,Ca_00049,28.6789,32.3933,24.4905,30.8728
XLOC_001766,Ca_00050,11.5236,11.9262,11.2178,13.1561
XLOC_000167,Ca_00051,2.03602,1.56613,2.13602,1.64125
XLOC_001767,Ca_00052,7.35271,2.08717,0.0,5.08256
XLOC_001768,Ca_00053,52.2665,48.2786,40.7763,42.1562
XLOC_000168,Ca_00054,22.8978,25.2774,21.4503,24.6695
XLOC_001769,Ca_00055,4.09302,3.22288,4.58685,4.24409
XLOC_001770,Ca_00056,8.7402,9.12388,8.78977,9.91432
XLOC_001771,Ca_00057,32.1197,33.9194,32.8635,32.1602
XLOC_000169,Ca_00058,24.3422,24.4654,28.1114,27.8636
XLOC_001772,Ca_00059,3.02924,2.56178,2.34507,2.56424
XLOC_000170,Ca_00060,24.9703,26.6593,22.5622,24.4733
XLOC_001773,Ca_00061,0.0901798,0.0,0.0,0.0511503
XLOC_001774,Ca_00062,0.0,0.0,0.0,0.0
XLOC_000171,Ca_00063,36.3404,35.2612,27.9092,28.7478
XLOC_000172,Ca_00064,46.1143,36.4262,43.2789,40.4472
XLOC_000173,Ca_00065,21.2189,16.046,22.8895,21.8022
XLOC_000174,Ca_00066,10.2161,9.52037,10.0212,12.241
XLOC_001775,Ca_00067,4.55727,4.32634,4.44904,4.60476
XLOC_000175,Ca_00068,0.282573,0.504598,0.540224,0.308096
XLOC_001777,Ca_00069,75.9217,58.642,75.8338,72.7228
XLOC_001778,Ca_00070,45.3553,54.1271,39.4373,44.0839
XLOC_000176,Ca_00071,1.25795,1.86797,1.43644,1.44435
XLOC_001779,Ca_00072,5.30593,4.56954,6.99564,5.95963
XLOC_000177,Ca_00073,0.0,0.0866339,0.141084,0.0828578
XLOC_001780,Ca_00074,7.01115,6.81474,9.30626,6.36807
XLOC_000178,Ca_00075,11.5879,12.1669,11.9114,11.9419
XLOC_001781,Ca_00076,0.0,0.0,0.0,0.171102
XLOC_000179,Ca_00077,3.72495,4.14561,6.2094,3.83567
XLOC_001782,Ca_00078,2.54889,2.1664,2.9582,2.76429
XLOC_001783,Ca_00079,19.971,16.478,17.3099,18.1435
XLOC_000180,Ca_00080,11.3048,11.5347,11.1204,11.6346
XLOC_000181,Ca_00081,15.9721,16.9354,14.5212,15.3436
XLOC_000182,Ca_00082,0.126975,0.0565277,0.0856315,0.115753
XLOC_000183,Ca_00083,25.2125,22.0841,23.1687,24.0392
XLOC_000184,Ca_00084,21.3991,18.5286,18.2317,18.3823
XLOC_001784,Ca_00085,88.5135,95.0522,115.23,113.057
XLOC_000185,Ca_00086,1.98229,1.9374,3.06402,2.24881
XLOC_000186,Ca_00087,5.8738,4.57607,5.40504,4.96582
XLOC_000187,Ca_00088,59.9718,53.2739,73.4677,72.8721
XLOC_000188,Ca_00089,15.2355,15.6918,13.1331,14.4473
XLOC_000189,Ca_00090,40.5763,40.2591,37.2604,39.0377
XLOC_001785,Ca_00091,15.9078,20.109,30.2525,38.4656
XLOC_001786,Ca_00092,1.0301,1.22267,0.945694,0.80517
XLOC_000190,Ca_00093,0.125933,0.143062,0.126213,0.395268
XLOC_001787,Ca_00094,0.0,0.0,0.0,0.0
XLOC_000191,Ca_00095,16.2643,14.9443,19.5241,17.1636
XLOC_001788,Ca_00096,62.5621,61.6171,55.2663,61.7162
XLOC_001789,Ca_00097,691.764,959.741,737.106,903.362
XLOC_001790,Ca_00098,3.87241,1.9908,3.04462,3.0135
XLOC_001791,Ca_00099,0.0457258,0.0604303,0.289576,1.76748
XLOC_001792,Ca_00100,1.18065,0.852308,0.810317,0.556953
XLOC_001793,Ca_00101,2.80818,3.40191,2.137,1.62516
XLOC_001794,Ca_00102,11.4688,8.78769,7.20645,8.22134
XLOC_001795,Ca_00103,643.65,685.533,588.038,664.471
XLOC_000193,Ca_00104,34.0407,32.1888,34.3716,35.7664
XLOC_000192,Ca_00104,307.402,323.031,318.819,275.063
XLOC_001796,Ca_00105,31.4137,34.9739,35.2864,35.433
XLOC_000192,Ca_00105,307.402,323.031,318.819,275.063
XLOC_000194,Ca_00106,6.71665,6.31348,6.29824,8.48244
XLOC_000195,Ca_00107,1.79055,1.69072,1.39138,1.83357
XLOC_000196,Ca_00108,0.0,0.0,0.0,0.0
XLOC_001797,Ca_00109,1907.9,1997.11,2039.03,1978.03
XLOC_001798,Ca_00110,10.3767,10.6939,12.9822,13.1489
XLOC_001799,Ca_00111,13.4913,9.69433,8.54113,5.43652
XLOC_000197,Ca_00112,6.22719,4.88373,5.38572,3.11567
XLOC_001800,Ca_00113,16.9266,14.8721,13.4869,12.3962
XLOC_000198,Ca_00114,34.936,31.7365,36.227,34.2068
XLOC_001801,Ca_00115,80.1312,70.1635,69.6538,65.7318
XLOC_000199,Ca_00116,65.1767,57.3569,49.7539,58.0137
XLOC_001802,Ca_00117,26.8367,27.8264,24.7267,24.8803
XLOC_000200,Ca_00118,0.342718,0.390642,0.276374,0.20295
XLOC_001803,Ca_00119,8.32281,8.84079,8.10365,8.18109
XLOC_000201,Ca_00120,1.85691,1.76102,2.06632,2.37013
XLOC_001804,Ca_00121,140.061,133.124,119.368,142.363
XLOC_001805,Ca_00122,2.59469,2.54653,3.34782,2.96656
XLOC_000202,Ca_00123,14.6813,18.6836,11.1523,23.1886
XLOC_001806,Ca_00124,50.2172,51.9635,50.6544,53.1657
XLOC_001807,Ca_00125,94.3726,62.7013,88.1467,185.069
XLOC_000203,Ca_00126,1.31987,1.37904,2.33819,2.28234
XLOC_001808,Ca_00127,52.5528,44.4169,40.7357,48.4476
XLOC_000205,Ca_00128,40.4458,42.5931,36.3618,33.0995
XLOC_000206,Ca_00129,20.7028,19.6886,18.7346,19.975
XLOC_000207,Ca_00130,54.7493,51.3819,57.1326,64.037
XLOC_000208,Ca_00131,2.28531,1.43109,2.08157,2.19306
XLOC_000209,Ca_00132,92.1369,91.7103,68.2795,90.0876
XLOC_001811,Ca_00133,197.171,176.346,249.501,209.985
XLOC_001812,Ca_00134,13.7111,12.7184,12.8757,12.349
XLOC_001813,Ca_00135,16.2749,15.271,15.6919,17.208
XLOC_000210,Ca_00136,38.623,19.2488,29.8254,36.1195
XLOC_001814,Ca_00137,39.1436,47.5385,36.98,42.7666
XLOC_000211,Ca_00138,28.1936,27.8904,26.1112,28.5784
XLOC_000211,Ca_00139,28.1936,27.8904,26.1112,28.5784
XLOC_000212,Ca_00140,8.23168,6.57297,6.71501,7.09591
XLOC_001815,Ca_00141,14.5872,15.2224,13.2967,14.7848
XLOC_000213,Ca_00142,5.96014,3.1265,9.6444,8.70098
XLOC_000214,Ca_00143,473.228,440.673,750.821,1321.56
XLOC_000215,Ca_00144,16.9758,19.3644,19.2896,26.1025
XLOC_001816,Ca_00145,0.0,0.0,0.0,0.19907
XLOC_000216,Ca_00146,22.1354,19.5731,17.124,24.9598
XLOC_000218,Ca_00147,0.0,0.0352232,0.0,0.0
XLOC_001817,Ca_00148,0.0200677,0.0,0.0957454,0.226523
XLOC_000219,Ca_00149,5.00319,5.43808,5.54445,7.09207
XLOC_001818,Ca_00150,19.7529,20.538,18.8622,19.438
XLOC_001819,Ca_00151,732.415,735.315,700.278,683.624
XLOC_000220,Ca_00152,0.0,0.117882,0.334523,0.127955
XLOC_001820,Ca_00153,405.247,239.177,258.668,166.382
XLOC_001821,Ca_00154,23.8705,23.5739,22.8798,24.4964
XLOC_000221,Ca_00155,14.4614,13.36,14.9415,15.5356
XLOC_000222,Ca_00156,66.6949,59.5454,61.8861,63.49
XLOC_001822,Ca_00157,2.2156,1.45671,2.44565,2.17467
XLOC_001823,Ca_00158,74.0057,75.3334,58.5877,70.7042
XLOC_000223,Ca_00159,11.343,13.1402,10.3399,12.1876
XLOC_001824,Ca_00160,56.9373,65.6727,50.6402,64.4783
XLOC_000224,Ca_00161,37.4726,35.145,32.991,32.3334
XLOC_001825,Ca_00162,0.0,0.0,0.181071,0.306986
XLOC_000225,Ca_00163,0.0,0.0,0.0,0.0
XLOC_001826,Ca_00164,180.424,179.584,185.953,155.631
XLOC_001827,Ca_00165,28.0245,26.4416,25.0361,30.8243
XLOC_000226,Ca_00166,0.0877221,0.0,0.0,0.0961288
XLOC_000227,Ca_00167,0.509666,0.465744,0.491943,0.521628
XLOC_001828,Ca_00168,10.1717,12.2144,9.35179,10.8613
XLOC_000228,Ca_00169,15.0,15.4576,15.2671,14.3994
XLOC_001829,Ca_00170,25.2637,25.7788,21.3028,24.7873
XLOC_001831,Ca_00171,41.4853,36.0394,38.2648,41.1552
XLOC_000230,Ca_00172,26.5983,14.5784,20.1656,20.9176
XLOC_000231,Ca_00173,65.6939,43.8758,48.3034,54.0495
XLOC_000232,Ca_00174,15.7695,10.0803,11.8217,11.2797
XLOC_001832,Ca_00175,111.507,77.6368,118.475,161.513
XLOC_001833,Ca_00176,158.179,101.721,138.19,90.8695
XLOC_001834,Ca_00177,98.0931,100.351,71.8713,97.0633
XLOC_000233,Ca_00178,22.4204,20.4499,18.4479,20.4393
XLOC_000234,Ca_00179,8.84813,9.33524,11.372,17.0441
XLOC_001835,Ca_00180,12.8782,11.269,11.2011,12.1575
XLOC_000235,Ca_00181,10.0264,10.3033,7.63196,7.47245
XLOC_000236,Ca_00182,11.062,12.6662,16.2636,14.3271
XLOC_000237,Ca_00183,0.0,0.0,0.0,0.0
XLOC_001836,Ca_00184,3.60688,3.85302,4.7264,3.70589
XLOC_001837,Ca_00185,169.234,169.672,146.207,156.581
XLOC_000238,Ca_00186,22.0698,24.3254,17.563,14.5985
XLOC_000239,Ca_00187,16.9847,14.4152,13.9067,15.4484
XLOC_000240,Ca_00188,7.2126,9.22292,5.02522,7.55617
XLOC_000241,Ca_00189,43.8272,42.7869,38.4635,41.9244
XLOC_001838,Ca_00190,5.76094,3.41215,6.28143,5.02554
XLOC_000242,Ca_00191,0.0716742,0.0400582,0.0690047,0.0371013
XLOC_000243,Ca_00192,14.1352,13.5634,11.393,14.7105
XLOC_001839,Ca_00193,8.5486,7.15253,6.0499,5.50828
XLOC_000244,Ca_00194,130.575,135.985,138.192,147.263
XLOC_000245,Ca_00195,18.3067,38.1005,8.98158,25.0182
XLOC_000246,Ca_00196,0.74558,1.44352,0.0,2.04462
XLOC_000247,Ca_00197,0.0,0.0,0.0,0.0
XLOC_001840,Ca_00198,0.0,0.0,0.0,0.0
XLOC_000248,Ca_00199,0.0,0.0,0.0,0.0
XLOC_000249,Ca_00200,0.0,0.0,0.0,0.0
XLOC_000250,Ca_00201,206.441,177.765,153.543,107.468
XLOC_001841,Ca_00202,522.664,599.336,500.969,439.875
XLOC_001842,Ca_00203,11.4713,8.22026,12.5119,10.0914
XLOC_000251,Ca_00204,79.4048,74.1257,77.942,78.8938
XLOC_001843,Ca_00205,17.4228,16.8866,16.3457,14.441
XLOC_001843,Ca_00206,17.4228,16.8866,16.3457,14.441
XLOC_000252,Ca_00207,3.72583,1.00398,1.93801,2.22263
XLOC_000253,Ca_00208,0.0,0.0,0.0,0.0
XLOC_000254,Ca_00209,0.0,0.0,0.0,0.0
XLOC_000255,Ca_00210,3.07504,2.09804,2.13918,2.83284
XLOC_001844,Ca_00211,31.4018,39.5622,32.6689,40.8848
XLOC_001845,Ca_00212,59.5556,74.1543,53.6184,51.6593
XLOC_001846,Ca_00213,36.0766,37.5764,34.5405,32.2563
XLOC_000256,Ca_00214,12.053,6.80027,13.6154,11.0118
XLOC_001847,Ca_00215,1174.26,1204.49,783.386,1042.62
XLOC_001848,Ca_00216,957.006,1080.28,569.866,674.754
XLOC_001849,Ca_00217,2.995,2.57336,2.51795,2.48691
XLOC_000257,Ca_00218,4.13275,4.68666,3.27845,3.8537
XLOC_001850,Ca_00219,13.0059,7.54318,10.4004,7.1444
XLOC_001851,Ca_00220,5.15414,3.14026,4.30192,4.37765
XLOC_001852,Ca_00221,34.3574,33.89,34.0746,29.8819
XLOC_000258,Ca_00222,0.0,0.0,0.944396,1.06779
XLOC_001853,Ca_00223,127.955,134.354,126.749,126.949
XLOC_000259,Ca_00224,39.6977,38.0363,32.5192,36.0252
XLOC_000260,Ca_00225,48.9492,55.3849,21.2468,32.4303
XLOC_001854,Ca_00226,0.807451,0.585087,0.0,0.0
XLOC_000261,Ca_00227,0.292056,0.0998132,0.0980446,0.175564
XLOC_000262,Ca_00228,0.0,0.0552348,0.0,0.0
XLOC_000263,Ca_00229,14.1474,15.1823,8.19148,7.05631
XLOC_000264,Ca_00230,10.2246,8.4687,20.4712,28.2313
XLOC_001855,Ca_00231,12.4209,10.1952,13.8406,12.5314
XLOC_001856,Ca_00232,0.554631,0.407543,0.862503,1.25627
XLOC_001857,Ca_00233,11.5467,11.9725,17.4204,15.2625
XLOC_000265,Ca_00234,330.606,298.714,170.789,169.874
XLOC_001858,Ca_00235,0.336936,0.271412,1.35291,1.30587
XLOC_001859,Ca_00236,0.349973,0.243919,0.104775,0.728488
XLOC_001860,Ca_00237,9.28925,10.3293,9.78561,10.374
XLOC_000266,Ca_00238,5.37577,4.16666,6.53983,5.61813
XLOC_001861,Ca_00239,0.0,0.0,0.0,0.0
XLOC_001862,Ca_00240,43.5599,43.7129,38.5002,37.1603
XLOC_000267,Ca_00241,70.6949,61.1386,65.4909,46.6206
XLOC_000267,Ca_00242,70.6949,61.1386,65.4909,46.6206
XLOC_001863,Ca_00243,8.13486,8.5866,0.0,0.0
XLOC_000268,Ca_00244,25.2985,25.7606,24.8302,27.2693
XLOC_000269,Ca_00245,0.0584635,0.0,0.36005,0.127206
XLOC_000270,Ca_00246,17.2166,16.4602,17.0134,17.7171
XLOC_001864,Ca_00247,0.386254,0.227358,1.09155,0.339993
XLOC_001865,Ca_00248,214.913,229.961,202.804,196.525
XLOC_001866,Ca_00249,13.0247,13.9115,12.2849,17.7993
XLOC_001867,Ca_00250,69.8653,82.1719,65.2719,79.7784
XLOC_001868,Ca_00251,705.311,721.628,732.739,697.266
XLOC_000271,Ca_00252,94.7669,110.469,102.76,99.2894
XLOC_000271,Ca_00253,94.7669,110.469,102.76,99.2894
XLOC_000272,Ca_00254,13.377,13.982,12.4037,13.3426
XLOC_000273,Ca_00255,12.3784,17.6062,10.5715,13.4766
XLOC_001869,Ca_00256,42.0344,40.2119,28.6956,29.7038
XLOC_000274,Ca_00257,0.0,0.0,0.0,0.0
XLOC_000275,Ca_00258,5.86468,5.59255,5.0955,4.39515
XLOC_001870,Ca_00259,0.182221,0.0,0.0,0.202802
XLOC_000276,Ca_00260,8.38826,8.41241,3.51931,3.51091
XLOC_001871,Ca_00261,0.0,0.456952,4.59698,3.03049
XLOC_001872,Ca_00262,0.0939845,0.0,1.32612,1.49821
XLOC_000277,Ca_00263,3.60306,3.10559,7.38218,7.4797
XLOC_000278,Ca_00264,7.28577,5.99401,5.01922,7.35708
XLOC_001873,Ca_00265,17.8704,15.4452,12.1507,12.1867
XLOC_001874,Ca_00266,7.84362,6.30116,6.85561,6.19645
XLOC_001875,Ca_00267,13.4995,12.1616,14.1035,14.3332
XLOC_001876,Ca_00268,13.0886,12.6202,12.6848,11.4423
XLOC_000279,Ca_00269,0.0,0.0,0.0,0.0
XLOC_001877,Ca_00270,9.69292,8.1483,8.59453,8.43453
XLOC_001878,Ca_00271,0.0441773,0.0563945,0.0467385,0.0
XLOC_000280,Ca_00272,0.908807,1.05983,1.30396,0.50289
XLOC_001879,Ca_00273,70.7176,66.9922,64.3883,73.6486
XLOC_000281,Ca_00274,26.8025,22.488,24.8585,27.5281
XLOC_000282,Ca_00275,0.0,0.0,0.0,0.0
XLOC_000283,Ca_00276,51.6502,50.9525,48.4764,82.17
XLOC_000284,Ca_00277,5.00222,4.00145,12.5662,19.128
XLOC_001880,Ca_00278,1.1063,0.958316,1.3855,1.35721
XLOC_001881,Ca_00279,68.1829,83.2713,54.936,60.7714
XLOC_001882,Ca_00280,11.6798,9.53664,19.5782,26.6754
XLOC_001883,Ca_00281,40.8763,45.3824,18.942,28.3553
XLOC_001884,Ca_00282,0.442692,0.600191,0.906993,1.61817
XLOC_000285,Ca_00283,0.0,0.0,0.0,0.0
XLOC_000286,Ca_00284,10.4492,11.532,10.8299,10.218
XLOC_000287,Ca_00285,32.6628,28.8767,34.1489,33.9021
XLOC_000288,Ca_00286,236.474,187.947,220.771,286.247
XLOC_001885,Ca_00287,7.16432,6.73189,9.38788,10.4178
XLOC_001886,Ca_00288,22.7967,23.6751,28.0866,28.7441
XLOC_000289,Ca_00289,9.65647,7.30589,8.93549,9.74197
XLOC_001887,Ca_00290,125.661,127.217,126.605,143.16
XLOC_000290,Ca_00291,0.0,0.0,0.0,0.0
XLOC_000291,Ca_00292,0.0,0.0,0.0518921,0.0
XLOC_001887,Ca_00293,125.661,127.217,126.605,143.16
XLOC_000292,Ca_00294,12.7688,11.205,14.0256,13.274
XLOC_000293,Ca_00295,25.8822,20.9251,18.8218,21.0102
XLOC_000294,Ca_00296,12.4528,11.8497,14.3077,12.5095
XLOC_000295,Ca_00297,381.805,340.255,412.437,488.404
XLOC_001888,Ca_00298,3.56035,3.64026,3.83444,3.622
XLOC_000296,Ca_00299,2.49458,2.56568,2.7796,2.58083
XLOC_001889,Ca_00300,65.8597,67.9665,52.7489,54.9244
XLOC_001890,Ca_00301,14.6707,20.1807,16.9987,13.988
XLOC_000297,Ca_00302,1.09039,0.968968,1.62627,1.12526
XLOC_001891,Ca_00303,16.2418,20.0853,21.1785,17.6989
XLOC_000298,Ca_00304,5.62282,5.99671,5.10858,4.15223
XLOC_001892,Ca_00305,11.7309,10.9706,12.8069,13.0597
XLOC_001893,Ca_00306,32.6262,37.9064,21.9565,23.2922
XLOC_001894,Ca_00307,84.0033,100.378,73.852,85.5805
XLOC_001895,Ca_00308,24.3552,23.4926,25.2717,38.244
XLOC_000299,Ca_00309,0.0,0.0,0.0,0.126315
XLOC_000300,Ca_00310,14.2161,16.9593,30.5277,52.9694
XLOC_000301,Ca_00311,18.2916,21.3334,19.5447,17.7165
XLOC_000302,Ca_00312,80.6916,83.0614,71.6644,73.7171
XLOC_000303,Ca_00313,48.0289,44.9287,59.5416,70.5291
XLOC_000304,Ca_00314,12.2434,13.1382,14.8896,13.3739
XLOC_000305,Ca_00315,0.0657452,0.103075,0.0774568,0.229435
XLOC_000306,Ca_00316,338.591,337.306,349.484,377.053
XLOC_000307,Ca_00317,0.27592,0.144878,0.353557,0.174175
XLOC_000308,Ca_00318,7.45527,9.18119,8.33452,7.80894
XLOC_001896,Ca_00319,31.9285,35.0045,28.7899,29.3679
XLOC_000309,Ca_00320,0.563497,0.618802,0.772304,2.03185
XLOC_001897,Ca_00321,13.6468,11.101,11.3845,12.0734
XLOC_001898,Ca_00322,4035.41,4843.29,2963.85,3489.54
XLOC_000310,Ca_00323,5.43472,3.62058,4.73958,4.60349
XLOC_001899,Ca_00324,25.7319,23.8008,22.7979,27.2474
XLOC_000311,Ca_00325,21.9201,25.2379,23.2737,25.2427
XLOC_000312,Ca_00326,50.3794,68.1447,56.2743,79.9276
XLOC_001900,Ca_00327,170.862,177.083,155.146,258.284
XLOC_000313,Ca_00328,74.5295,87.2678,74.8009,86.2217
XLOC_001901,Ca_00329,103.823,95.3481,118.926,100.912
XLOC_001902,Ca_00330,2.3104,4.75148,3.08621,3.74708
XLOC_001903,Ca_00331,5.83687,5.39924,6.92047,5.74333
XLOC_001904,Ca_00332,15.1834,20.4146,15.5625,18.9968
XLOC_001905,Ca_00333,13.959,12.7769,13.7399,14.466
XLOC_001906,Ca_00334,9.96093,9.61914,11.4116,9.24459
XLOC_000314,Ca_00335,1.78111,1.61687,1.92156,2.05565
XLOC_000315,Ca_00336,10.7018,11.5957,11.0048,11.0229
XLOC_001907,Ca_00337,27.0027,20.7055,27.3708,26.2385
XLOC_000316,Ca_00338,1.42615,0.969299,1.46577,1.10237
XLOC_001908,Ca_00339,0.0,0.541062,0.241654,0.27757
XLOC_001909,Ca_00340,2.64225,2.34678,2.27538,2.34936
XLOC_000317,Ca_00341,31.3987,27.6127,27.0285,27.6801
XLOC_001910,Ca_00342,17.495,16.676,17.998,18.3494
XLOC_000318,Ca_00343,10.0706,11.8729,9.09239,8.30208
XLOC_000319,Ca_00344,5.91424,5.36219,10.4482,6.16756
XLOC_000320,Ca_00345,3.91253,3.02431,4.57075,4.40436
XLOC_000321,Ca_00346,0.0,0.0,0.0,0.0
XLOC_001911,Ca_00347,20.3888,24.4428,20.4147,22.8357
XLOC_000322,Ca_00348,13.6216,12.0835,20.3536,13.7186
XLOC_000323,Ca_00349,8.9127,7.96889,9.46211,8.62743
XLOC_000324,Ca_00350,0.344919,0.587583,0.257649,0.149411
XLOC_000325,Ca_00351,13.3189,11.2432,14.4244,12.6471
XLOC_001913,Ca_00352,153.65,117.402,176.537,151.553
XLOC_000326,Ca_00353,21.3903,14.1817,27.7125,22.9452
XLOC_000327,Ca_00354,18.3245,16.332,16.2429,19.0238
XLOC_000328,Ca_00355,42.9464,49.3568,55.3082,50.2659
XLOC_001914,Ca_00356,30.0388,28.4631,27.0636,28.5049
XLOC_001915,Ca_00357,0.0,0.0,0.0,0.0
XLOC_001916,Ca_00358,12.3086,12.8109,15.1226,11.4884
XLOC_000329,Ca_00359,8.92879,6.04032,8.58992,12.273
XLOC_001917,Ca_00360,0.210381,0.0,0.249283,0.239142
XLOC_000330,Ca_00361,2.40269,3.40578,1.49183,2.38597
XLOC_001918,Ca_00362,2.06448,1.64577,1.56649,1.66366
XLOC_001919,Ca_00363,0.551671,0.330356,0.692656,0.37554
XLOC_000331,Ca_00364,15.0221,18.2515,17.9105,16.2676
XLOC_000332,Ca_00365,0.536577,0.343444,0.630471,0.609147
XLOC_001920,Ca_00366,0.343786,0.172208,0.196456,0.280347
XLOC_000333,Ca_00367,27.8434,28.4399,26.8005,28.5409
XLOC_000334,Ca_00368,7.23309,8.44544,6.58342,5.48942
XLOC_001921,Ca_00369,9.80872,12.3674,11.2054,13.0928
XLOC_001922,Ca_00370,6.04016,4.39129,5.99924,6.91269
XLOC_001923,Ca_00371,105.694,101.121,71.0523,87.5718
XLOC_000335,Ca_00372,349.978,368.646,347.577,372.499
XLOC_000336,Ca_00373,0.772307,1.2568,1.13171,1.1675
XLOC_000335,Ca_00374,349.978,368.646,347.577,372.499
XLOC_000338,Ca_00375,73.5411,75.0218,59.1874,75.6147
XLOC_000339,Ca_00376,26.6296,25.8834,24.3861,24.6695
XLOC_001924,Ca_00377,357.59,390.9,394.288,386.073
XLOC_001925,Ca_00378,8.69533,10.2037,11.6039,9.26987
XLOC_000340,Ca_00379,0.0,0.0,0.0,0.0
XLOC_001926,Ca_00380,0.0,0.0,0.0,0.0
XLOC_001927,Ca_00381,0.0,0.0,0.0,0.0
XLOC_001928,Ca_00382,51.5383,43.0659,47.5957,42.6142
XLOC_000341,Ca_00383,34.1866,44.492,37.6103,38.3853
XLOC_000342,Ca_00384,0.447796,0.865435,1.07132,1.99262
XLOC_001929,Ca_00385,11.0908,7.97509,11.3689,10.1719
XLOC_001930,Ca_00386,14.7043,13.6566,12.6624,14.7926
XLOC_001931,Ca_00387,111.329,93.7357,62.1413,57.1241
XLOC_000343,Ca_00388,14.0761,34.3997,4.09357,18.2572
XLOC_000344,Ca_00389,23.4092,20.3678,19.5282,21.8573
XLOC_000345,Ca_00390,15.023,14.8741,16.6176,14.3421
XLOC_000346,Ca_00391,12.7896,26.7194,15.1127,22.4511
XLOC_001933,Ca_00392,15.1759,22.3293,22.6535,25.918
XLOC_000347,Ca_00393,26.0352,26.6063,23.8144,35.1149
XLOC_001935,Ca_00394,27.6654,29.1715,26.7792,27.9454
XLOC_001936,Ca_00395,42.9764,43.3264,51.1026,44.9777
XLOC_000348,Ca_00396,47.6128,49.337,43.024,48.7303
XLOC_000349,Ca_00397,0.142441,0.158383,0.102293,0.189864
XLOC_000350,Ca_00398,7.7313,7.77863,9.45438,9.69302
XLOC_001937,Ca_00399,0.0,0.0,0.115898,0.0
XLOC_000351,Ca_00400,17.1248,18.6569,20.2388,19.5508
XLOC_000352,Ca_00401,0.0,0.0,0.0,0.0
XLOC_001938,Ca_00402,18.0702,20.337,18.0945,20.4169
XLOC_000353,Ca_00403,22.9268,17.988,22.3094,17.7209
XLOC_000354,Ca_00404,2.7086,2.75113,3.61018,3.45902
XLOC_001939,Ca_00405,5.38164,4.99875,4.72569,4.86005
XLOC_000355,Ca_00406,176.451,191.66,159.909,184.153
