Test-id,Gene,FPKM-SS-C,FPKM-SS-S,FPKM-ST-C,FPKM-ST-S
XLOC_012101,Ca_13084,2.5202,2.63723,2.51006,2.96473
XLOC_010315,Ca_13085,14.6538,18.5455,13.1069,12.7189
XLOC_010314,Ca_13086,0.03949,0.0,0.0,0.0470211
XLOC_010312,Ca_13087,6.93926,7.607,5.43072,7.39529
XLOC_012100,Ca_13088,45.4579,42.2491,30.0318,28.5038
XLOC_010311,Ca_13089,0.0,0.0,0.0,0.0
XLOC_012099,Ca_13090,0.0,0.0,0.277917,0.973956
XLOC_012098,Ca_13091,34.8681,35.2338,48.5502,48.5963
XLOC_010310,Ca_13092,53.7418,57.9725,52.97,54.269
XLOC_012097,Ca_13093,0.0,0.0,0.0,0.0
XLOC_012096,Ca_13094,12.8041,10.6066,10.3074,9.80922
XLOC_012095,Ca_13095,31.6406,33.2038,40.4392,32.2583
XLOC_012094,Ca_13096,65.7745,62.5102,69.667,49.4038
XLOC_010309,Ca_13097,1.4682,1.74494,2.16795,3.06179
XLOC_012093,Ca_13098,16.3018,15.6477,14.2111,16.3431
XLOC_012091,Ca_13099,30.742,31.9546,28.2136,35.4912
XLOC_012090,Ca_13100,8.13276,6.26741,7.9323,7.37978
XLOC_010308,Ca_13101,118.066,94.7058,127.227,146.77
XLOC_010308,Ca_13102,118.066,94.7058,127.227,146.77
XLOC_012089,Ca_13103,35.6255,40.0229,33.3712,37.7128
XLOC_012088,Ca_13104,20.2006,19.5929,25.5007,20.1809
XLOC_010307,Ca_13105,14.0813,16.2648,8.68554,12.3972
XLOC_010306,Ca_13106,72.8249,51.3132,72.8192,60.4554
XLOC_012087,Ca_13107,16.933,14.0416,27.6967,20.4737
XLOC_012086,Ca_13108,52.194,21.9707,24.5713,36.2649
XLOC_010304,Ca_13109,1.95583,2.13174,2.98893,3.04827
XLOC_010303,Ca_13110,4.01317,3.98688,3.25065,3.85144
XLOC_010302,Ca_13111,0.0,0.0,0.0889442,0.0
XLOC_012085,Ca_13112,6.57186,5.39517,6.51651,5.54228
XLOC_012084,Ca_13113,12.5511,10.9338,14.3639,15.031
XLOC_012083,Ca_13114,13.7098,13.7534,11.0853,8.32251
XLOC_012082,Ca_13115,8.07819,6.52834,10.189,8.34218
XLOC_012081,Ca_13116,61.4914,68.2556,91.4133,96.0073
XLOC_012080,Ca_13117,0.077697,0.207401,0.113911,0.175111
XLOC_012079,Ca_13118,0.0,0.0,0.0,0.0
XLOC_010301,Ca_13119,137.631,125.528,151.827,175.882
XLOC_010300,Ca_13120,11.8597,10.8644,10.9613,11.2169
XLOC_010299,Ca_13121,28.3377,27.5509,27.62,27.834
XLOC_010298,Ca_13122,36.5139,37.993,40.1137,44.3791
XLOC_012078,Ca_13123,36.1124,35.3539,39.0059,35.6894
XLOC_012077,Ca_13124,18.2815,22.7044,16.2526,17.8869
XLOC_010296,Ca_13125,3.44072,3.13588,2.58207,5.11498
XLOC_010297,Ca_13126,0.0,0.0,0.0,0.0
XLOC_012076,Ca_13127,0.0,0.0,0.0,0.0
XLOC_010295,Ca_13128,4.70979,3.26929,5.99597,4.5257
XLOC_012075,Ca_13129,0.0,0.0,0.0,0.0
XLOC_012074,Ca_13130,48.0432,45.4283,56.4031,44.4171
XLOC_012073,Ca_13131,30.962,31.7748,24.644,18.6646
XLOC_010294,Ca_13132,10.8393,11.083,13.5694,14.8379
XLOC_010293,Ca_13133,30.5052,25.2023,33.9007,32.7967
XLOC_012072,Ca_13134,25.5371,26.8442,28.37,27.4977
XLOC_010292,Ca_13135,1.75884,1.47031,2.08936,1.41636
XLOC_010291,Ca_13136,50.5762,51.5567,45.4273,56.4411
XLOC_010290,Ca_13137,34.9154,33.1998,40.2537,37.9242
XLOC_010289,Ca_13138,11.4263,10.9465,9.51163,9.81574
XLOC_010288,Ca_13139,174.146,207.299,206.475,252.88
XLOC_012071,Ca_13140,2.85251,1.68827,4.33609,9.12148
XLOC_012070,Ca_13141,3.90703,4.3241,3.61302,5.26926
XLOC_012069,Ca_13142,27.9603,26.1762,35.9083,33.8273
XLOC_012068,Ca_13143,10.17,8.68911,1.75812,3.41747
XLOC_012067,Ca_13144,114.88,146.005,149.759,183.196
