Ca_ID,XLOC_ID,4567_AFL_C,4567_AFL_S,4567_AFR_C,4567_AFR_S,4567_BFL_C,4567_BFL_S,4567_BFR_C,4567_BFR_S
Ca_00011,XLOC_000171,2.05384,8.00615,2.72619,0.0,1.21923,6.1833,4.60802,1.86434
Ca_00022,XLOC_000180,2.99474,3.92586,1.28748,0.0,2.92224,0.0,0.0,0.0
Ca_00024,XLOC_000181,19.9279,13.0717,1.92735,0.0,16.229,13.8409,1.38777,0.0
Ca_00034,XLOC_001796,30.5037,24.3365,28.7284,30.1735,28.9174,35.0091,32.2093,38.1327
Ca_00039,XLOC_000190,19.1981,19.5517,13.7374,14.0391,15.398,18.5894,14.6564,27.7247
Ca_00040,XLOC_001799,15.6684,11.3046,38.3527,27.558,16.8846,9.94415,36.8293,19.4255
Ca_00042,XLOC_001800,184.269,407.284,51.6935,0.0,105.948,202.269,55.4953,89.7957
Ca_00054,XLOC_000196,8.21537,3.328,10.4193,10.0376,10.6995,6.85425,8.56072,6.70825
Ca_00056,XLOC_001808,53.2873,101.241,10.9857,12.2374,47.4397,91.8862,8.97687,13.4582
Ca_00057,XLOC_001808,53.2873,101.241,10.9857,12.2374,47.4397,91.8862,8.97687,13.4582
Ca_00060,XLOC_000199,28.6633,29.163,12.1579,9.21812,28.3059,27.1699,18.1614,23.4381
Ca_00063,XLOC_000200,6.24555,2.44363,25.2501,7.57414,7.45059,10.8373,28.7004,18.0242
Ca_00070,XLOC_001815,44.3417,32.3792,21.1139,29.3612,49.0849,41.0224,19.7944,23.6723
Ca_00080,XLOC_000210,22.2562,11.8433,2.08279,0.0,20.0501,9.01296,2.21699,0.0
Ca_00085,XLOC_001821,45.798,101.337,54.6195,87.7478,42.537,64.6484,58.709,79.9331
Ca_00092,XLOC_001823,1.33304,0.0,0.0,0.0,0.0,1.35806,0.0,1.85173
Ca_00094,XLOC_001824,1.53664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca_00095,XLOC_000221,3.06327,1.97068,10.3906,0.0,3.37158,1.92168,9.89763,5.83279
Ca_00097,XLOC_001826,98.6346,53.8132,96.1188,0.0,154.109,87.9381,81.3679,170.625
Ca_00101,XLOC_001830,12.3506,0.0,1.19565,0.0,12.1654,2.31768,0.0,0.0
Ca_00102,XLOC_001831,1.9891,2.60526,1.79322,0.0,1.81621,1.43034,2.32065,6.93784
Ca_00103,XLOC_000222,180.844,265.876,167.967,140.254,152.133,220.622,194.216,328.146
Ca_00104,XLOC_000224,11.1022,4.08024,3.69772,0.0,6.3151,6.18571,5.18546,2.22751
Ca_00114,XLOC_000230,1.81069,1.30977,1.7126,0.0,0.0,1.36738,2.25164,1.02643
Ca_00115,XLOC_001839,34.0913,6.36298,6.14128,3.90894,22.078,8.47123,5.72667,4.18437
Ca_00121,XLOC_001842,85.7042,121.734,7.72579,0.0,49.4544,125.93,8.18482,6.89888
Ca_00124,XLOC_001844,649.153,733.09,38.2752,36.237,485.729,478.398,37.4805,23.1166
Ca_00125,XLOC_001844,649.153,733.09,38.2752,36.237,485.729,478.398,37.4805,23.1166
Ca_00129,XLOC_000239,8.30592,6.03973,9.2341,17.8769,8.25093,8.48427,9.89605,12.9291
Ca_00132,XLOC_000242,27.4957,12.7883,12.0949,0.0,55.086,29.2931,10.3425,21.8543
Ca_00133,XLOC_001849,23.7291,19.5471,27.9907,16.6066,28.1791,21.9055,27.0613,28.1494
Ca_00136,XLOC_000243,9.15618,13.3822,4.28079,10.9206,9.67645,9.72882,5.65209,0.0
Ca_00160,XLOC_001863,21.9324,16.7395,27.246,0.0,39.8231,13.1063,28.2049,13.7991
Ca_00165,XLOC_001866,0.0,0.0,34.7404,15.271,0.0,0.0,24.967,50.3341
Ca_00169,XLOC_000262,4.84823,9.44927,7.9967,15.4023,4.86946,7.61634,8.23712,5.87328
Ca_00175,XLOC_001871,38.9607,48.9113,66.8495,34.7069,39.1866,77.9346,67.2751,37.357
Ca_00180,XLOC_000270,7.25255,3.13937,0.0,0.0,1.16478,3.00912,0.0,2.41556
Ca_00186,XLOC_000274,0.0,0.0,13.3971,33.3845,0.0,0.0,12.1136,18.2164
Ca_00195,XLOC_000281,0.0,0.0,3.08593,0.0,0.0,0.0,2.28612,0.0
Ca_00196,XLOC_000282,16.8633,0.0,0.0,0.0,19.1447,16.9551,0.0,0.0
Ca_00214,XLOC_000294,5.01008,4.83082,2.15518,10.351,1.4737,3.66091,2.48476,1.85486
Ca_00216,XLOC_001888,2.02451,0.0,201.856,120.235,3.90517,6.39383,203.809,615.11
Ca_00224,XLOC_000298,16.0275,16.2628,23.8033,23.4061,16.3007,18.1022,28.1595,26.4656
Ca_00229,XLOC_000302,3.92815,0.0,4.84932,0.0,6.87199,2.31569,3.42266,1.93516
Ca_00232,XLOC_001896,1.59421,0.0,0.0,0.0,2.10907,0.0,0.0,0.0
Ca_00246,XLOC_000309,7.93464,7.81843,6.82772,9.54216,7.93907,7.08465,6.45944,7.67769
Ca_00252,XLOC_000310,1.777,1.44967,2.02053,0.0,1.78047,2.32008,2.3758,1.2859
Ca_00255,XLOC_000313,30.1261,8.6967,2.84698,0.0,49.4595,23.4624,4.91438,0.0
Ca_00256,XLOC_001908,10.0071,10.1661,31.2049,10.9756,11.0852,9.51594,28.4388,34.3561
Ca_00270,XLOC_001915,10.542,12.2458,1.5962,0.0,6.54067,6.10267,1.34737,0.0
Ca_00276,XLOC_000320,18.9582,12.709,45.9356,16.2308,18.8441,6.39682,46.253,17.1131
Ca_00277,XLOC_000320,18.9582,12.709,45.9356,16.2308,18.8441,6.39682,46.253,17.1131
Ca_00278,XLOC_001918,1.6118,4.46994,2.00342,0.0,8.73779,6.13476,1.679,13.0635
Ca_00286,XLOC_000323,438.312,188.933,28.939,123.105,308.635,427.706,33.5765,297.923
Ca_00290,XLOC_000325,48.0494,86.483,33.7745,45.6331,36.1615,72.4558,37.9042,70.5949
Ca_00291,XLOC_000326,14.8256,5.12454,0.0,0.0,10.2951,4.21449,0.0,0.0
Ca_00292,XLOC_000327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca_00295,XLOC_000329,14.8971,4.92769,6.8566,0.0,14.4239,1.23567,9.64552,4.22495
Ca_00297,XLOC_000331,109.606,111.589,163.893,57.1895,123.104,143.547,196.319,188.463
Ca_00303,XLOC_001931,14.088,3.90412,7.35545,12.0066,22.1061,8.17612,8.18748,5.72594
Ca_00304,XLOC_000336,7.7475,14.9734,1.23077,1.53679,5.58328,11.0965,3.33997,6.57567
Ca_00307,XLOC_000337,27.7317,15.8206,17.4564,0.0,23.8537,15.6175,20.6177,37.0255
Ca_00317,XLOC_000346,71.6021,246.469,0.0,42.0348,48.3347,89.8615,0.0,0.0
Ca_00318,XLOC_000347,0.0,0.0,4.84321,0.0,1.67967,1.31797,3.52863,1.52493
Ca_00320,XLOC_000348,14.7108,2.85063,0.0,0.0,22.6585,10.5045,0.0,0.0
Ca_00326,XLOC_000354,2.60504,9.82418,9.43256,0.0,0.0,1.66796,14.1302,23.6066
Ca_00327,XLOC_001943,7.65078,2.47632,103.231,102.802,10.7758,15.5682,103.15,50.9215
Ca_00347,XLOC_001955,1.20875,0.0,0.0,0.0,1.9293,1.42566,0.0,1.11237
Ca_00347,XLOC_001956,9.09345,8.85384,7.73769,12.02,10.4557,8.55321,7.87619,6.26768
Ca_00353,XLOC_000367,30.5042,22.7082,4.60181,0.0,28.9508,29.2952,3.35937,4.77201
Ca_00359,XLOC_000371,4.79748,2.51954,13.8355,0.0,2.74719,4.38366,12.1776,4.03599
Ca_00363,XLOC_001964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07438
Ca_00367,XLOC_000376,12.1947,15.4298,4.19556,20.7656,13.4327,7.06663,3.71158,3.62801
Ca_00368,XLOC_000377,3.95101,4.45018,5.77087,8.34592,7.12084,4.16631,5.41873,5.02498
Ca_00370,XLOC_000378,3.52959,3.15822,0.0,0.0,5.70823,0.0,0.0,0.0
Ca_00374,XLOC_000382,2.48693,1.57934,41.5983,21.6927,4.02871,3.72028,39.4437,21.2661
Ca_00375,XLOC_000383,8.05289,2.99827,29.2955,0.0,8.56844,3.25283,29.9907,21.7777
Ca_00383,XLOC_000386,983.938,1680.59,5.60298,118.139,653.619,824.986,14.0877,12.3081
Ca_00384,XLOC_000387,11.6705,0.0,0.0,0.0,24.5846,100.118,1.03914,0.0
Ca_00385,XLOC_001974,19.6686,19.2881,2.22563,0.0,14.4002,11.2417,2.30827,2.74655
Ca_00387,XLOC_001976,0.0,0.0,1.49051,0.0,0.0,0.0,6.99266,0.0
Ca_00391,XLOC_000391,0.0,0.0,4.61353,0.0,6.1629,0.0,5.81352,7.57661
Ca_00392,XLOC_001977,1.82883,0.0,9.04288,0.0,0.0,0.0,8.19862,13.4678
Ca_00412,XLOC_000402,24.117,9.72888,0.0,0.0,23.3969,9.56025,1.86771,1.94656
Ca_00414,XLOC_001990,17.954,13.6168,29.2878,324.741,19.8678,32.4238,29.4214,69.438
Ca_00415,XLOC_000403,21.5876,34.0841,2.94278,0.0,14.7971,17.1498,5.82272,1.92411
