Gene_identifier,Root-Control,Root-DS,Shoot-Control,Shoot-DS
Ca_03030,15.9636,13.4001,17.806,10.5424
Ca_03031,110.533,115.956,80.3384,69.922
Ca_03032,7.7533,6.50088,7.77735,8.89067
Ca_03033,0.263363,0.316399,0.111811,0.0932528
Ca_03034,0.0,0.0,0.0,0.0
Ca_03035,3.35636,3.38926,7.27159,5.01873
Ca_03036,150.229,79.6089,74.2285,37.6265
Ca_03037,3.59853,2.62643,3.78707,1.97542
Ca_03038,0.0,1.59695,0.0489251,0.361477
Ca_03039,15.4995,18.3429,8.80689,13.9116
Ca_03040,4.90934,6.85219,5.36096,17.8115
Ca_03041,7.37371,5.22619,10.7198,6.23314
Ca_03042,9.6602,2.44473,21.2946,20.1402
Ca_03043,4.26089,3.12977,4.44463,2.02565
Ca_03044,81.3628,98.1201,36.3581,85.5798
Ca_03045,23.5156,31.8561,104.339,151.932
Ca_03046,23.5156,31.8561,104.339,151.932
Ca_03047,16.8174,15.5875,11.6666,7.79486
Ca_03048,0.0,0.0367268,0.681027,0.84986
Ca_03049,49.3859,89.1475,58.7722,56.3394
Ca_03050,10.2821,14.4665,11.1199,21.3733
Ca_03051,0.47901,0.899812,1.18447,0.514167
Ca_03052,18.5196,23.2776,17.6123,16.575
Ca_03053,0.0,0.0,0.16848,0.0
Ca_03054,0.149589,4.1468,0.229808,1.50319
Ca_03055,88.4787,135.687,122.671,95.369
Ca_03056,8.92962,8.53829,12.4952,11.1132
Ca_03057,0.0,0.0,0.0,0.0
Ca_03058,103.146,139.243,141.028,103.53
Ca_03059,113.09,75.8661,80.1566,68.0447
Ca_03060,15.6216,33.1912,1.33565,2.34351
Ca_03061,0.0,0.0,0.0,0.0
Ca_03062,0.0,0.0,0.0,0.0
Ca_03063,0.0,0.0,0.0,0.0
Ca_03064,39.2062,1.06051,299.08,353.964
Ca_03065,2.43667,0.0,0.480746,0.362828
Ca_03066,0.574701,0.499627,1.24951,0.671656
Ca_03067,6.98645,4.58957,21.5481,8.01119
Ca_03068,16.4791,10.4371,9.31542,13.2416
Ca_03069,3.03994,0.693749,14.1782,14.2819
Ca_03070,4.38178,6.34868,2.83579,0.645862
Ca_03071,10.6105,9.5126,8.62813,7.27426
Ca_03072,5.38704,5.65609,7.59192,5.45666
Ca_03073,14.6758,17.9479,34.8327,23.2203
Ca_03074,0.149111,0.349814,0.128194,0.105673
Ca_03075,46.9481,47.3799,3.39988,4.58615
Ca_03076,0.0,0.0,0.0,0.0
