Ca_ID,XLOC_ID,10685_AFL_C,10685_AFL_S,10685_AFR_C,10685_AFR_S,10685_BFL_C,10685_BFL_S,10685_BFR_C,10685_BFR_S
Ca_11635,XLOC_004071,27.6939,38.3,18.8453,28.1067,53.2535,45.591,16.7907,29.3885
Ca_11637,XLOC_004070,0.0,3.98146,1.74434,5.56494,0.0,22.4061,1.95977,4.43907
Ca_11641,XLOC_004067,27.0005,37.6011,25.512,18.5064,31.0078,20.428,29.9801,23.2432
Ca_11644,XLOC_005249,3.09751,2.25998,5.34372,7.22976,3.27794,2.54002,7.25639,7.07876
Ca_11664,XLOC_005237,0.0,0.0,0.0,0.0,0.0,5.55881,0.0,0.0
Ca_11671,XLOC_004051,39.0978,61.5228,14.5651,36.5563,72.9447,68.3602,11.4194,38.727
Ca_11686,XLOC_005221,29.6373,27.5959,7.81786,8.90438,31.7113,26.5792,7.75293,8.69239
Ca_11698,XLOC_023642,0.0,0.0,2.3178,1.51506,0.0,0.0,2.37361,0.0
Ca_11707,XLOC_021965,3.60475,6.21654,3.30774,2.16157,3.61225,5.12102,2.93092,3.02496
Ca_11715,XLOC_021959,372.767,1271.7,6.03878,5.18227,502.767,209.516,5.59355,6.13417
Ca_11719,XLOC_023632,11.0191,11.6273,8.05281,8.81911,14.7673,13.8397,7.10506,11.1787
Ca_11723,XLOC_023630,120.774,84.1239,82.817,61.6886,190.687,98.3764,67.3017,53.0396
Ca_11728,XLOC_021952,1.38644,1.45708,19.0448,3.14413,2.68735,1.90686,20.3807,3.106
Ca_11729,XLOC_023626,0.0,3.14144,1.71568,10.1209,0.0,13.0055,1.02384,10.0732
Ca_11737,XLOC_023620,1.58683,6.33794,4.12137,11.9714,2.13782,6.58654,3.3694,10.6524
Ca_11749,XLOC_021943,32.2459,26.4397,21.2764,31.2707,36.2326,32.0525,24.1764,38.0897
Ca_11761,XLOC_021939,8.74297,15.9004,20.2722,26.0919,17.4791,21.266,17.7117,27.748
Ca_11768,XLOC_021934,4.73704,28.5817,15.7278,11.1088,3.55027,15.523,17.718,9.46638
Ca_11769,XLOC_021934,4.73704,28.5817,15.7278,11.1088,3.55027,15.523,17.718,9.46638
Ca_11769,XLOC_023595,0.0,8.6347,1.35532,3.97425,1.80532,3.18912,2.10129,4.51549
Ca_11770,XLOC_021934,4.73704,28.5817,15.7278,11.1088,3.55027,15.523,17.718,9.46638
Ca_11773,XLOC_023592,7.3142,4.48563,2.98276,9.72302,13.8669,7.33667,3.21522,6.22845
Ca_11776,XLOC_023590,6.47806,5.63744,3.07516,6.54192,6.94546,3.88933,4.3639,5.77034
Ca_11784,XLOC_023586,15.3674,17.0907,12.5342,11.1826,15.9876,14.501,13.0928,12.5835
Ca_11793,XLOC_021920,24.2673,7.13344,26.6581,30.274,15.9373,23.963,25.9116,30.8203
Ca_11803,XLOC_023578,86.7611,144.201,72.9464,45.6412,161.614,96.0939,74.0314,41.9243
Ca_11828,XLOC_024336,25.51,66.9462,45.2675,45.623,21.4279,44.5186,42.7153,45.7624
Ca_11840,XLOC_025090,35.721,64.2427,27.9708,10.6858,40.6553,21.4994,29.099,11.9854
Ca_11843,XLOC_025089,1.04645,0.0,0.0,0.0,0.0,38.4041,0.0,0.0
Ca_11851,XLOC_024322,25.1224,19.9314,46.8441,7.58726,27.7516,67.2814,49.2788,7.83895
Ca_11852,XLOC_024322,25.1224,19.9314,46.8441,7.58726,27.7516,67.2814,49.2788,7.83895
Ca_11853,XLOC_025087,17.1165,17.6242,8.72994,15.2717,19.5813,13.5165,11.0216,12.0199
Ca_11859,XLOC_025084,0.0,0.0,0.0,0.0,0.0,1.20282,0.0,0.0
Ca_11860,XLOC_025083,24.383,26.7166,8.5082,4.8169,26.6356,17.2765,7.53963,4.74789
Ca_11862,XLOC_024318,2.44626,7.96804,2.80325,3.13034,6.05611,5.48192,2.60225,3.03968
Ca_11876,XLOC_025074,9.43805,4.11102,11.4584,10.4921,9.48769,13.0366,12.4556,8.19105
Ca_11879,XLOC_024307,3.59314,10.9003,2.06057,6.46077,4.8288,29.1672,1.73147,6.35579
Ca_11879,XLOC_025072,9.4613,26.133,16.7948,23.4722,7.61787,139.86,14.341,23.8932
Ca_11880,XLOC_024307,3.59314,10.9003,2.06057,6.46077,4.8288,29.1672,1.73147,6.35579
Ca_11881,XLOC_025071,4.30486,2.59929,4.66927,2.65503,6.23952,16.7641,2.54047,1.70333
Ca_11883,XLOC_025070,3.87226,3.39464,2.71363,3.28938,3.08025,7.43488,2.65919,3.12398
Ca_11889,XLOC_024302,10.5103,27.8272,9.39308,11.5408,9.02563,15.3843,7.28546,6.86189
Ca_11891,XLOC_024300,1.17153,1.24635,0.0,0.0,0.0,2.72187,0.0,0.0
Ca_11894,XLOC_025065,39.2171,24.0894,15.5408,22.4104,37.6383,28.2553,17.4124,25.8647
Ca_11896,XLOC_024297,6.77424,9.87351,6.56228,8.48197,10.0346,9.96816,7.35841,10.5059
Ca_11897,XLOC_025063,0.0,2.04893,7.5844,19.0585,0.0,2.72571,8.73928,19.381
Ca_11898,XLOC_024296,8.87354,140.463,10.2393,10.5739,7.10467,6.35683,9.61282,14.3988
Ca_11913,XLOC_024290,41.7517,158.356,72.7491,98.227,40.0225,68.0893,69.1862,95.95
Ca_11921,XLOC_025044,20.473,17.4466,16.515,23.9372,22.185,16.9607,16.8005,23.7535
Ca_11922,XLOC_025044,20.473,17.4466,16.515,23.9372,22.185,16.9607,16.8005,23.7535
Ca_11925,XLOC_025044,20.473,17.4466,16.515,23.9372,22.185,16.9607,16.8005,23.7535
Ca_11927,XLOC_024283,32.0964,96.1352,16.4775,19.6736,39.9939,48.3239,10.9503,29.8662
Ca_11932,XLOC_025040,38.2326,43.8555,37.0441,40.2548,49.1528,61.7606,40.7695,33.0544
Ca_11938,XLOC_029213,54.8969,124.64,12.9053,10.0941,68.5175,32.4608,15.2707,10.8379
Ca_11940,XLOC_029222,64.3005,26.9673,8.40702,5.18409,100.619,21.4925,5.50543,2.77797
Ca_11941,XLOC_029222,64.3005,26.9673,8.40702,5.18409,100.619,21.4925,5.50543,2.77797
Ca_11942,XLOC_029213,54.8969,124.64,12.9053,10.0941,68.5175,32.4608,15.2707,10.8379
Ca_11943,XLOC_029222,64.3005,26.9673,8.40702,5.18409,100.619,21.4925,5.50543,2.77797
Ca_11950,XLOC_029218,13.7902,20.9492,21.4038,20.1101,17.9664,24.2651,22.8243,19.2659
Ca_11959,XLOC_007084,17.4822,28.74,12.584,38.7787,12.4072,28.5546,13.5464,37.8136
Ca_11960,XLOC_007085,4.92614,0.0,0.0,0.0,5.62687,0.0,0.0,0.0
Ca_11962,XLOC_007087,8.00259,3.15475,4.57594,3.5707,6.32576,10.9542,4.76001,2.0943
Ca_11964,XLOC_007087,8.00259,3.15475,4.57594,3.5707,6.32576,10.9542,4.76001,2.0943
Ca_11965,XLOC_007087,8.00259,3.15475,4.57594,3.5707,6.32576,10.9542,4.76001,2.0943
Ca_11976,XLOC_008561,109.206,77.6681,43.9135,69.1044,117.972,137.277,65.0398,76.7572
Ca_11977,XLOC_008562,14.5079,13.3728,24.5584,14.3452,11.2193,12.7794,30.1955,14.4821
Ca_11978,XLOC_007090,63.4854,47.2212,109.694,68.3703,67.7783,53.8802,92.5006,61.3645
Ca_11979,XLOC_007091,2.11818,6.23013,0.0,0.0,2.26861,1.86201,0.0,0.0
Ca_11996,XLOC_008571,11.3048,13.6886,2.57854,3.35466,10.7176,9.80716,4.69625,1.33599
Ca_12001,XLOC_007102,0.0,0.0,0.0,2.60336,0.0,2.59826,0.0,4.21909
Ca_12008,XLOC_008578,35.4672,20.5258,2.34095,0.0,45.1145,16.9577,3.1521,3.54498
Ca_12010,XLOC_007106,1.94729,1.04267,0.0,0.0,0.0,4.539,0.0,0.0
Ca_12018,XLOC_008583,9.29522,7.52986,2.01278,3.26289,8.1346,12.7677,1.88549,3.6574
Ca_12021,XLOC_008585,8.34273,5.3854,2.86663,1.21323,9.20036,4.40874,3.48934,1.40705
Ca_12024,XLOC_007112,5.23634,2.01773,0.0,1.06678,11.2161,3.76777,0.0,0.0
Ca_12025,XLOC_007113,8.72274,19.3177,0.0,0.0,5.57321,1.56807,0.0,0.0
Ca_12034,XLOC_008593,65.2264,56.2035,13.9751,5.85495,63.1204,19.1445,17.0442,4.33518
Ca_12042,XLOC_008597,5.8543,6.3257,2.44976,1.88147,10.0574,6.85567,1.81471,3.1379
Ca_12065,XLOC_011143,5.01121,3.3288,1.29926,0.0,11.5492,6.46734,1.34419,1.40114
Ca_12069,XLOC_009236,4.23779,8.97283,0.0,0.0,2.66244,3.12,0.0,0.0
Ca_12074,XLOC_011150,15.2665,7.51511,29.1156,20.1494,30.6039,17.5238,27.4862,33.9417
