Ca_ID,XLOC_ID,92944_AFL_C,92944_AFL_S,92944_AFR_C,92944_AFR_S,92944_BFL_C,92944_BFL_S,92944_BFR_C,92944_BFR_S
Ca_00011,XLOC_000171,10.4032,2.62765,0.0,0.0,0.0,4.77392,4.9782,3.53583
Ca_00022,XLOC_000180,5.34729,2.90292,0.0,0.0,5.36188,3.86723,4.44234,1.47845
Ca_00024,XLOC_000181,5.745,13.1426,0.0,0.0,20.6965,22.4957,2.91722,0.0
Ca_00034,XLOC_001796,25.1615,31.0793,36.8454,33.7972,24.8027,30.5451,34.1449,40.0285
Ca_00039,XLOC_000190,31.9377,7.12437,0.0,31.1828,21.3274,13.157,16.9237,23.5622
Ca_00040,XLOC_001799,9.50445,19.3663,0.0,7.0969,14.1639,12.6045,22.0089,14.26
Ca_00042,XLOC_001800,359.144,73.4818,92.8736,0.0,187.464,304.776,73.0842,81.456
Ca_00054,XLOC_000196,4.7859,12.7306,41.1028,9.251,7.7532,8.68426,6.44515,5.96047
Ca_00056,XLOC_001808,49.4719,94.2921,132.042,14.0791,66.7733,64.1354,12.6213,12.793
Ca_00057,XLOC_001808,49.4719,94.2921,132.042,14.0791,66.7733,64.1354,12.6213,12.793
Ca_00060,XLOC_000199,34.398,22.6634,11.6593,0.0,36.1466,30.1731,22.0985,26.5088
Ca_00063,XLOC_000200,2.73795,11.7293,37.3821,0.0,8.52989,6.81958,20.0148,16.2219
Ca_00070,XLOC_001815,66.1724,15.3577,0.0,64.5366,67.1014,43.1609,30.4815,22.815
Ca_00080,XLOC_000210,13.6584,13.893,0.0,0.0,25.6666,13.4209,5.03714,3.76959
Ca_00085,XLOC_001821,106.839,78.6481,0.0,76.4014,67.8444,114.897,73.8752,100.714
Ca_00092,XLOC_001823,3.77096,3.15078,0.0,0.0,0.0,1.32072,0.0,0.0
Ca_00094,XLOC_001824,16.7285,3.1682,0.0,0.0,2.81939,4.50645,0.0,0.0
Ca_00095,XLOC_000221,2.86376,3.6341,12.3957,0.0,3.6745,3.13775,10.1986,4.32376
Ca_00097,XLOC_001826,56.7399,70.3078,0.0,56.421,160.829,86.085,148.698,140.611
Ca_00101,XLOC_001830,3.39097,4.39766,0.0,0.0,27.6433,0.0,1.74909,0.0
Ca_00102,XLOC_001831,3.3442,1.30185,40.1511,0.0,6.06068,1.85288,4.49976,12.6509
Ca_00103,XLOC_000222,222.402,140.676,64.3491,275.724,172.798,178.186,189.517,265.729
Ca_00104,XLOC_000224,3.04645,0.0,0.0,0.0,7.35741,3.23786,11.1034,2.46987
Ca_00114,XLOC_000230,2.39868,2.20137,181.823,0.0,2.91753,2.13972,10.1268,1.88555
Ca_00115,XLOC_001839,18.8309,8.77246,0.0,0.0,31.864,10.5156,11.8091,2.28339
Ca_00121,XLOC_001842,32.0789,168.423,210.601,0.0,65.4603,97.3674,19.3521,10.3798
Ca_00124,XLOC_001844,475.074,366.201,563.482,356.634,491.39,473.666,55.2133,40.9767
Ca_00125,XLOC_001844,475.074,366.201,563.482,356.634,491.39,473.666,55.2133,40.9767
Ca_00129,XLOC_000239,8.46573,7.17508,7.41091,62.0914,8.53821,8.28284,6.92009,11.6372
Ca_00132,XLOC_000242,19.2408,36.8507,24.8348,104.541,36.3719,23.1947,23.3317,26.3875
Ca_00133,XLOC_001849,18.6661,8.32812,33.0393,0.0,18.2362,11.4833,54.3836,28.3648
Ca_00136,XLOC_000243,4.59695,9.71344,49.9979,0.0,10.7594,6.02245,7.03589,3.31114
Ca_00160,XLOC_001863,19.412,16.1673,0.0,0.0,42.7266,20.5843,34.9156,25.2522
Ca_00165,XLOC_001866,0.0,2.66428,531.294,97.2545,0.0,0.0,24.2087,30.1234
Ca_00169,XLOC_000262,8.96137,8.95888,0.0,14.2101,4.77502,10.8628,6.62866,6.82822
Ca_00175,XLOC_001871,35.8609,66.695,68.8805,354.791,32.873,61.4441,73.4701,35.5703
Ca_00180,XLOC_000270,9.61533,0.0,0.0,0.0,6.65399,4.0752,0.0,2.76718
Ca_00186,XLOC_000274,0.0,0.0,61.9154,30.1784,0.0,0.0,9.53773,9.21002
Ca_00195,XLOC_000281,0.0,0.0,0.0,0.0,0.0,0.0,43.2804,1.24898
Ca_00196,XLOC_000282,1.15576,2.50403,0.0,0.0,1.99347,2.48088,0.0,1.04008
Ca_00214,XLOC_000294,1.69801,2.05105,15.7319,0.0,4.14978,3.20024,4.81291,4.51465
Ca_00216,XLOC_001888,1.41955,0.0,0.0,378.387,2.16435,3.92593,189.915,326.412
Ca_00224,XLOC_000298,15.6464,17.9626,33.7648,29.7741,17.9458,21.8945,22.9822,27.6729
Ca_00229,XLOC_000302,0.0,1.31934,0.0,0.0,3.95754,0.0,1.15648,2.31679
Ca_00232,XLOC_001896,0.0,0.0,0.0,0.0,1.11794,0.0,1.08607,0.0
Ca_00246,XLOC_000309,10.0983,8.76727,35.8588,7.62231,6.94853,10.3134,6.97578,6.54025
Ca_00252,XLOC_000310,0.0,1.6464,0.0,0.0,6.68997,0.0,3.17349,1.19615
Ca_00255,XLOC_000313,9.18456,21.0307,0.0,0.0,42.7641,13.733,4.2991,2.53208
Ca_00256,XLOC_001908,3.08064,5.07198,93.711,0.0,5.49245,4.93584,10.9499,22.9182
Ca_00270,XLOC_001915,18.0895,5.29806,0.0,0.0,8.78189,11.9588,2.37815,3.72002
Ca_00276,XLOC_000320,7.59614,37.8041,65.0395,57.496,19.6887,5.91559,23.1115,29.1671
Ca_00277,XLOC_000320,7.59614,37.8041,65.0395,57.496,19.6887,5.91559,23.1115,29.1671
Ca_00278,XLOC_001918,0.0,1.18131,0.0,0.0,0.0,2.56525,2.78838,7.3356
Ca_00286,XLOC_000323,705.612,69.1583,148.972,220.547,655.592,1330.62,133.645,491.284
Ca_00290,XLOC_000325,54.697,32.1053,24.7854,17.7485,30.7904,46.6121,27.5192,43.8943
Ca_00291,XLOC_000326,4.78586,1.0187,0.0,0.0,6.70491,4.66026,0.0,0.0
Ca_00292,XLOC_000327,3.71248,0.0,0.0,0.0,0.0,1.04856,0.0,0.0
Ca_00295,XLOC_000329,16.9597,50.5553,0.0,15.5415,12.082,3.12191,4.70116,2.03626
Ca_00297,XLOC_000331,93.4648,113.411,102.813,84.178,119.208,105.187,213.948,204.468
Ca_00303,XLOC_001931,28.4635,6.07763,0.0,43.3396,21.6193,15.0943,22.7003,13.1402
Ca_00304,XLOC_000336,19.2697,4.20418,8.24698,3.61937,8.42772,12.6717,3.97027,3.90405
Ca_00307,XLOC_000337,15.7525,19.8756,50.689,0.0,34.0189,24.4353,18.0227,19.7664
Ca_00317,XLOC_000346,67.5119,188.031,0.0,0.0,105.115,195.225,0.0,0.0
Ca_00318,XLOC_000347,1.20474,1.57446,0.0,22.8138,1.7035,1.87815,6.39006,5.54018
Ca_00320,XLOC_000348,4.85399,12.7615,0.0,0.0,17.455,7.78254,0.0,0.0
Ca_00326,XLOC_000354,9.6787,1.88078,0.0,0.0,8.01791,18.5524,16.0476,11.5138
Ca_00327,XLOC_001943,4.08572,5.55147,0.0,72.3302,9.48985,13.9511,140.469,43.6584
