Gene_identifier,Root-Control,Root-CS,Shoot-Control,Shoot-CS
Ca_00001,129.345,58.423,54.9581,56.4316
Ca_00002,0.0,0.0,0.0,0.0
Ca_00003,89.4981,22.1109,98.2096,86.7054
Ca_00004,22.4533,16.0979,13.739,14.7524
Ca_00004,0.851815,1.55271,0.642646,0.404746
Ca_00005,0.469439,0.0740627,0.284124,0.139697
Ca_00006,0.0,0.0,0.0,0.0
Ca_00007,0.0,0.0,0.0,0.0
Ca_00008,0.0,0.0,0.0,0.0
Ca_00009,0.0324868,0.0,0.0,0.0253333
Ca_00010,0.0,0.0,0.0,0.0
Ca_00011,61.8319,71.7327,97.6369,80.7045
Ca_00012,8.5184,7.16764,3.2532,2.65967
Ca_00013,25.2623,26.9208,23.8884,20.726
Ca_00014,5.39082,7.29212,5.38751,6.00966
Ca_00015,8.65817,7.65365,9.85349,9.26284
Ca_00016,6.65437,4.84264,12.3736,13.7889
Ca_00017,8.96448,12.2414,11.941,10.6055
Ca_00018,50.6749,49.4321,50.7842,46.2389
Ca_00019,3.92385,5.08921,5.43854,7.02285
Ca_00020,17.5472,11.5747,40.9676,46.0772
Ca_00021,32.0298,26.4999,37.8158,32.1525
Ca_00022,25.3654,32.2433,127.558,111.244
Ca_00023,36.1865,43.3306,52.4414,57.2138
Ca_00024,17.1089,22.679,13.2724,13.8512
Ca_00025,21.9614,31.4382,11.8644,13.8374
Ca_00026,18.8224,15.098,16.314,19.7549
Ca_00027,96.635,136.831,178.36,216.62
Ca_00028,0.0,0.0882711,0.115945,0.144362
Ca_00029,43.1209,31.0971,38.5007,32.877
Ca_00030,2.88244,2.8166,0.995362,1.49568
Ca_00031,100.463,92.1727,1747.66,2126.07
Ca_00032,100.463,92.1727,1747.66,2126.07
Ca_00033,32.5267,46.1182,14.8131,15.9451
Ca_00034,6.11201,8.12261,11.3536,11.1739
Ca_00035,1.79117,2.12359,8.27246,5.49046
Ca_00036,63.9169,53.9844,22.124,24.4552
Ca_00037,16.7291,22.0377,20.2554,24.0764
Ca_00038,2.17473,1.93814,0.992564,1.7727
Ca_00039,18.224,18.7297,47.641,51.5278
Ca_00040,26.1143,22.6918,7.37488,11.4111
Ca_00041,22.3153,23.0264,27.6786,23.2712
Ca_00042,1.84116,2.4331,3.48575,4.67327
Ca_00043,27.814,31.2466,22.1733,22.382
Ca_00044,0.0366342,0.489005,0.141321,0.579253
Ca_00045,0.0891438,0.0,0.0,0.0
Ca_00046,33.4644,46.2925,40.8084,30.3662
Ca_00047,15.0441,16.3962,26.9161,22.8317
Ca_00048,7.24971,9.59908,11.0689,11.2568
Ca_00049,5.05514,2.65888,16.1142,13.2474
Ca_00050,0.970336,0.499198,0.659782,0.67488
Ca_00051,47.0787,47.5937,38.751,31.3689
Ca_00052,23.4416,17.9025,22.4508,20.2604
Ca_00053,0.45172,0.196471,3.11245,4.01059
Ca_00054,1.77069,5.69377,7.9552,6.31693
Ca_00055,0.116847,0.0,0.151053,0.301345
Ca_00056,24.0536,5.22378,54.5949,48.997
Ca_00057,15.6321,15.0071,17.997,13.3965
Ca_00058,3.13784,2.72472,1.14309,1.25338
Ca_00059,2.48134,0.781108,3.49282,2.46699
Ca_00060,19.7985,25.4404,13.8493,11.547
Ca_00061,2.81208,3.44688,21.6388,16.8013
Ca_00062,12.3911,6.98713,16.4831,17.7321
Ca_00063,0.297119,0.0998117,0.799451,0.573594
Ca_00064,13.9078,19.4172,26.4732,23.4357
Ca_00065,6.92342,6.93624,10.5426,11.2996
Ca_00066,72.5325,55.6704,70.5142,74.7167
Ca_00067,1.23975,2.61284,2.65598,1.67887
Ca_00068,3.79617,3.75344,5.48087,4.87848
Ca_00069,51.0856,36.827,45.8232,45.6629
Ca_00070,6.47262,4.16308,10.6788,8.04721
Ca_00071,20.6986,19.0035,17.1852,20.1208
Ca_00072,0.295061,0.990585,0.784874,1.07459
Ca_00073,0.390863,0.404629,0.812617,0.345172
Ca_00074,0.0716553,0.488032,0.11185,0.0572542
Ca_00075,0.0,0.0,0.0,0.177612
Ca_00076,116.164,93.8493,63.8796,67.4469
Ca_00077,60.1282,67.6368,58.7062,63.3619
Ca_00078,8.05712,2.52221,3.23261,2.96206
Ca_00079,0.840662,0.228958,3.73254,2.04354
Ca_00080,0.0879945,0.691964,0.0,0.274058
Ca_00081,204.369,114.283,5.62287,10.8532
Ca_00082,311.716,416.671,305.729,301.536
Ca_00083,11.7595,63.0582,3.4286,9.7738
Ca_00084,24.9412,28.7896,32.0318,27.4394
Ca_00085,5.15916,3.16424,3.24545,2.93278
Ca_00086,0.349383,0.345501,0.13531,0.0991461
Ca_00087,0.0452172,0.0183259,0.0180354,0.0350896
Ca_00088,157.08,104.663,144.766,139.756
Ca_00089,157.08,104.663,144.766,139.756
Ca_00090,22.392,27.0841,6.40837,7.06134
Ca_00091,39.6432,83.0957,19.5127,21.391
Ca_00092,3.82572,6.68249,5.31318,3.94007
Ca_00093,10.1938,10.268,5.61943,3.60701
Ca_00094,0.169953,0.274747,3.66301,3.06256
Ca_00095,1.63275,2.49873,2.1072,1.86519
Ca_00096,64.2058,23.0322,79.1242,99.3705
Ca_00097,24.5015,6.9505,16.6053,18.8459
Ca_00098,0.98505,3.55568,2.2597,7.54191
Ca_00099,34.965,16.9309,20.1606,22.6203
Ca_00100,4.11096,4.65345,5.35064,4.431
Ca_00101,0.0745264,0.0583169,0.0,0.164247
Ca_00102,60.266,12.5388,9.96801,5.74333
Ca_00103,0.210225,0.217812,0.541705,0.336689
Ca_00104,0.0,0.242068,4.03663,1.83206
Ca_00105,15.3631,13.7006,7.64903,8.55063
Ca_00106,37.2631,27.148,19.1028,23.2527
Ca_00107,33.4929,40.1979,34.5483,41.4051
Ca_00107,1.13819,0.919433,0.855213,1.02548
Ca_00108,0.0,0.0,2.69658,1.62854
Ca_00109,9.26694,9.68951,6.17801,6.08279
Ca_00110,17.4241,17.1585,0.895263,1.80239
Ca_00111,7.96281,6.20797,0.263324,0.197512
Ca_00112,134.007,185.855,6.54172,6.58315
Ca_00113,220.935,665.252,7.93334,6.78073
Ca_00114,7.90148,33.0556,5.07168,8.25464
Ca_00115,68.7299,47.113,224.167,225.903
Ca_00116,68.7299,47.113,224.167,225.903
Ca_00117,30.4777,13.5962,5.77984,7.09236
Ca_00118,1.35083,0.564562,0.167228,0.16349
Ca_00119,1.06147,0.75076,0.680318,1.16221
Ca_00120,48.2978,57.3356,23.1067,38.6436
Ca_00121,16.7871,9.54998,35.1835,38.0945
Ca_00122,16.7871,9.54998,35.1835,38.0945
Ca_00123,52.7013,43.3418,50.7929,51.5509
Ca_00124,3.71061,7.5361,15.0112,11.0838
Ca_00125,261.757,227.542,91.9766,105.428
Ca_00126,128.522,85.9909,15.6877,12.4736
Ca_00127,0.0,0.0,0.0,0.0
Ca_00128,0.0,0.0,0.0,0.0
Ca_00129,0.0,0.0,0.0,0.0619843
Ca_00130,1.01731,0.779874,0.0,0.258914
Ca_00131,49.2996,55.992,65.2666,59.4836
Ca_00132,0.590627,0.739612,0.0774772,0.392474
Ca_00133,6.88849,4.06928,4.35678,3.70019
Ca_00134,0.1417,0.136669,1.48519,1.2328
Ca_00135,1.80937,4.14396,6.99941,4.21175
Ca_00136,43.243,37.8026,31.4847,30.1212
Ca_00137,8.1355,8.46912,9.0548,8.2662
Ca_00138,27.6572,6.53695,9.83409,9.22269
Ca_00139,13.8921,1.58713,0.137081,0.272736
Ca_00140,49.6118,35.6957,189.996,207.05
Ca_00141,7.73152,5.36457,4.48365,2.84308
Ca_00142,10.8794,10.3966,13.5336,18.2653
Ca_00143,11.1732,10.3707,7.43395,7.1299
Ca_00144,23.5038,32.1005,39.5984,45.2982
Ca_00145,23.5038,32.1005,39.5984,45.2982
Ca_00146,60.8966,88.8034,29.4106,38.4868
Ca_00147,37.3225,21.5145,8.54471,12.7505
Ca_00148,5.12119,7.27354,10.1316,8.615
Ca_00149,34.0041,125.182,34.6723,42.9631
Ca_00150,47.1111,45.9706,83.1666,81.3538
Ca_00151,16.2925,20.1165,13.0768,16.9405
Ca_00152,68.5932,21.4771,25.8398,16.8744
Ca_00153,9.10766,5.96232,2.42835,1.46641
Ca_00153,21.1382,5.57484,2.64381,1.47814
Ca_00154,28.0342,4.34341,6.9569,5.05139
Ca_00155,34.2184,44.6466,27.9046,23.476
Ca_00156,6.60469,9.71596,5.63861,5.45935
Ca_00157,62.3327,42.5891,41.9512,43.5618
Ca_00158,0.0806277,0.281055,0.43219,0.426149
Ca_00159,6.27849,8.04321,5.58652,5.25032
Ca_00160,6.6756,10.7098,5.84074,7.73156
Ca_00161,0.0342705,0.0,0.0532487,0.212234
Ca_00162,5.8468,7.49576,6.62781,6.05456
Ca_00163,8.62102,7.34029,8.05271,6.42451
Ca_00164,11.474,13.1526,12.5062,12.8439
Ca_00165,257.474,349.108,367.935,358.661
Ca_00166,0.0,0.0293005,0.116135,0.0569784
Ca_00167,10.1372,8.96044,10.786,7.81749
Ca_00168,4.06303,3.90237,4.70159,4.96803
Ca_00169,15.61,15.7723,16.2018,17.6354
Ca_00170,0.995625,3.45186,8.92338,6.59177
Ca_00171,0.995625,3.45186,8.92338,6.59177
Ca_00172,93.0747,84.8127,435.622,470.695
Ca_00173,52.4024,51.4938,35.1727,30.4357
Ca_00174,3.5301,5.22034,7.24386,6.01381
Ca_00175,1.31136,4.75114,16.2105,12.4507
Ca_00176,14.1093,30.7306,5.90814,7.28483
Ca_00177,22.8827,38.681,13.3131,8.81471
Ca_00178,167.797,57.1786,87.8074,62.5965
Ca_00179,55.561,55.4769,18.0886,16.5729
Ca_00180,16.3415,17.1876,5.80351,4.97807
Ca_00181,0.702519,0.221995,0.0272535,0.0813368
Ca_00182,8.15912,4.4385,5.53873,6.14569
Ca_00183,0.646155,1.62475,0.0,0.0
Ca_00184,107.63,47.0849,72.7124,108.525
Ca_00185,2.60634,2.78266,20.1193,19.4668
Ca_00186,10.8869,3.27002,937.521,1197.79
Ca_00187,162.341,127.672,33.6975,35.7388
Ca_00188,162.341,127.672,33.6975,35.7388
Ca_00189,0.649433,1.95563,0.138156,1.0706
Ca_00190,31.8463,26.9313,25.1373,48.7309
Ca_00191,0.527769,1.25084,1.26695,1.58328
Ca_00192,21.1342,24.2589,20.1078,22.2771
Ca_00193,29.7623,35.8141,39.4209,37.5454
Ca_00194,2.53365,3.99903,24.7569,20.1447
Ca_00195,18.6889,20.7728,10.4299,12.0957
Ca_00196,41.9818,41.5543,59.5114,66.7051
Ca_00197,1.24535,2.77342,2.58725,2.15535
Ca_00198,26.899,28.9607,14.2769,19.6748
Ca_00199,74.0453,129.378,8.02935,11.3447
Ca_00200,13.2509,18.5994,14.7223,15.7804
Ca_00201,53.6387,123.043,24.4896,41.6465
Ca_00202,28.703,26.553,85.0863,85.7996
Ca_00203,22.8006,30.7433,28.5735,27.6161
Ca_00204,8.48313,12.7978,10.2069,10.2689
Ca_00205,1.76007,1.58703,2.41711,2.58528
Ca_00206,7.05542,10.7231,65.0796,69.8044
Ca_00207,32.0626,771.026,77.004,208.469
Ca_00208,32.0626,771.026,77.004,208.469
Ca_00209,9.27854,3.85652,5.4591,12.8428
Ca_00210,37.4077,18.5599,13.0157,16.6617
Ca_00211,18.682,16.0058,27.3361,26.3586
Ca_00212,0.0,0.0,5.03584,3.49173
Ca_00213,10.4404,10.6091,144.559,202.123
Ca_00214,4.95202,3.21795,62.4404,53.5243
Ca_00215,1.17202,0.284126,15.2424,13.4815
Ca_00216,13.9141,11.5782,22.2068,22.3735
Ca_00217,24.7296,24.4198,25.415,29.7278
Ca_00218,28.4127,12.0118,4.811,7.55852
Ca_00219,4.86753,3.93462,3.91808,4.78897
Ca_00220,16.6855,26.2775,25.4706,21.7008
Ca_00221,1.75539,1.8388,0.879174,1.90706
Ca_00222,1042.9,1332.14,105.088,111.315
Ca_00223,9.89439,7.49743,9.72855,6.67611
Ca_00224,0.411647,0.402808,1.63258,2.81251
Ca_00225,16.5098,18.2166,8.68998,7.40009
Ca_00226,3.84659,0.10965,41.8447,59.6222
Ca_00227,182.243,207.772,223.616,243.017
Ca_00228,0.0221629,0.0,0.103344,0.0858068
Ca_00229,19.1313,13.2291,7.3444,6.99585
Ca_00230,0.0,0.0,0.0,0.0
Ca_00231,18.7445,49.8868,34.217,42.8835
Ca_00232,53.7406,66.413,81.0585,88.6115
Ca_00233,57.3892,153.715,23.9703,71.3633
Ca_00234,57.3892,153.715,23.9703,71.3633
Ca_00235,0.135561,0.0,0.0181249,0.0
Ca_00236,18.5933,20.7938,23.3766,21.166
Ca_00237,34.4334,24.6268,19.8056,22.1016
Ca_00238,27.8703,72.6676,24.9478,26.8146
Ca_00239,14.8689,17.1704,12.558,11.4935
Ca_00240,3.22037,5.82073,8.20814,7.28282
Ca_00241,11.5432,7.92801,17.6099,15.2672
Ca_00241,3.07568,3.14487,9.34284,4.58238
Ca_00242,1.38858,1.20638,2.22061,2.31321
Ca_00243,8.95677,8.54251,11.6331,9.1014
Ca_00244,11.9697,8.61018,10.6771,12.1538
Ca_00245,0.742486,0.896376,1.13432,0.665351
Ca_00246,3.57889,2.5387,5.51219,4.73094
Ca_00247,138.455,137.046,48.489,68.3924
Ca_00248,16.7803,29.7874,10.078,12.9156
Ca_00249,16.7803,29.7874,10.078,12.9156
Ca_00250,11.4601,7.06913,10.2038,10.0716
Ca_00251,0.71359,1.1995,1.28673,1.33232
Ca_00252,0.0,0.0258339,0.0,0.0
Ca_00253,0.0486854,0.0,0.970473,1.32479
Ca_00254,93.3457,86.0196,76.8163,73.381
Ca_00255,15.2582,8.48227,0.948566,1.65746
Ca_00256,19.2785,17.6113,13.5373,12.8962
Ca_00257,6.00946,39.5733,7.40917,8.97686
Ca_00258,599.965,339.971,128.015,338.102
Ca_00259,20.222,19.4891,18.9357,15.0219
Ca_00260,13.9786,16.619,33.2128,30.8966
Ca_00261,0.881831,0.971249,3.29028,3.09918
Ca_00262,14.5941,5.59758,2.90815,2.69041
Ca_00263,10.8144,12.7338,16.0025,20.6896
Ca_00264,26.3943,34.911,20.9424,17.2495
Ca_00265,2.94817,1.6795,8.27768,13.8427
Ca_00266,29.0437,24.8651,0.292356,0.344047
Ca_00267,29.6006,28.973,34.5144,35.6512
Ca_00268,26.7923,38.8909,15.0895,15.9405
Ca_00269,51.6937,38.488,37.2732,32.2529
Ca_00270,0.837795,0.575568,4.48241,5.60015
Ca_00271,1.8688,2.8909,5.74323,6.7421
Ca_00272,0.743896,0.788063,4.39411,2.48533
Ca_00273,13.8815,23.6268,24.5774,21.5094
Ca_00274,9.06838,6.51969,2.63219,2.77725
Ca_00275,23.5481,13.9811,13.4655,13.0715
Ca_00276,0.0,0.0,0.0,0.0
Ca_00277,0.0,0.0,0.0,0.0
Ca_00278,8.19452,16.933,69.7804,67.1711
Ca_00279,1.80411,1.16644,1.29457,1.0679
Ca_00280,14.6242,8.71182,6.07684,4.96123
Ca_00281,32.35,25.5169,18.4258,14.2473
Ca_00282,9.20206,5.62665,63.3579,57.6848
Ca_00283,0.0,0.0,0.0,0.0
Ca_00284,7.57017,1.25393,7.59911,32.9397
Ca_00285,47.7963,44.7564,43.1363,44.434
Ca_00286,2.07647,1.16249,0.691715,0.78508
Ca_00287,1.29662,0.712611,0.647876,0.598652
Ca_00288,17.8086,17.0518,8.92161,10.299
Ca_00289,0.0,0.0,0.0,0.0
Ca_00290,0.0,0.0629725,0.0621405,0.0627929
Ca_00291,0.0,0.0,0.0,0.0
Ca_00292,0.0,0.0,0.0,0.0
Ca_00293,8.82365,14.3568,1.41772,2.21362
Ca_00294,37.2126,35.1605,38.6989,40.7823
Ca_00295,0.141272,0.0371224,0.0,0.0
Ca_00296,0.805791,0.48223,0.397241,0.143572
Ca_00297,20.4241,20.3791,19.0979,20.2024
Ca_00298,38.5363,25.8887,23.4883,23.2509
Ca_00299,87.2385,89.5398,2.00018,1.65589
Ca_00300,28.7079,12.3175,9.06863,5.6483
Ca_00301,6.22249,5.49982,16.1882,13.9333
Ca_00302,0.458098,0.776917,0.0,0.0
Ca_00303,29.5997,28.4304,29.3362,26.636
Ca_00304,13.4858,15.7987,16.2871,20.4433
Ca_00305,35.9012,9.31405,5.70129,4.67212
Ca_00306,15.8259,17.929,3.80571,3.26084
Ca_00307,14.9855,20.8654,35.5105,29.3378
Ca_00308,4.94,21.6045,23.1104,26.3117
Ca_00309,4.64563,12.478,7.43612,6.59102
Ca_00310,7.29549,5.61187,4.38002,6.75647
Ca_00311,2.93817,3.14218,10.9263,10.366
Ca_00312,166.083,198.586,120.647,134.026
Ca_00313,2.65604,3.13576,3.54351,3.55252
Ca_00314,2.2776,2.20422,1.75248,1.09788
Ca_00315,14.2554,8.90635,4.43384,2.83001
Ca_00316,16.5249,18.011,8.01792,11.7752
Ca_00317,0.0,0.0,0.0,0.0
Ca_00318,13.7143,18.799,17.0457,17.0691
Ca_00319,0.0,0.0,0.0,0.293787
Ca_00320,0.0,0.0361707,0.0353755,0.120569
Ca_00321,3.62482,2.65548,4.81815,3.20141
Ca_00322,6.63118,14.2861,25.5935,22.1437
Ca_00323,20.9025,22.1198,23.4405,26.9377
Ca_00324,20.9025,22.1198,23.4405,26.9377
Ca_00325,24.8951,21.9199,7.67292,11.2693
Ca_00326,16.3711,14.6876,11.4999,14.5149
Ca_00327,12.3562,7.71875,6.34204,7.67676
Ca_00328,6.83816,13.7859,4.32994,4.87459
Ca_00329,11.2519,3.32115,1.01891,0.348784
Ca_00330,1.52401,1.80548,0.0496458,0.0491315
Ca_00331,5.31699,9.38862,10.2838,11.0715
Ca_00332,14.6905,15.727,9.03284,9.62182
Ca_00333,14.6905,15.727,9.03284,9.62182
Ca_00334,0.0841598,0.0331909,0.0,0.0
Ca_00335,0.388332,0.345482,1.22671,0.798911
Ca_00336,4.72744,75.2171,2.81782,3.18701
Ca_00337,3.03931,6.5676,16.9,13.1417
Ca_00338,11.8612,19.7929,75.4233,80.3167
Ca_00339,17.8909,117.063,10.627,12.3794
Ca_00340,0.483701,0.0,1.93349,2.17918
Ca_00341,4.70759,2.88857,0.504383,0.657611
Ca_00342,46.766,42.188,18.2563,22.7975
Ca_00343,1.44536,1.91575,2.25947,2.60261
Ca_00344,21.3082,20.565,9.54139,10.0291
Ca_00345,1.15282,2.86223,4.9748,2.7763
Ca_00346,131.753,35.5209,153.883,173.689
Ca_00347,6.59621,12.31,12.8993,11.4324
Ca_00348,74.4154,78.7666,61.0466,70.6573
Ca_00349,74.4154,78.7666,61.0466,70.6573
Ca_00350,0.204934,0.0,0.0,0.142426
Ca_00351,63.0815,50.99,50.176,56.2133
Ca_00352,19.2283,34.0182,9.00777,14.8555
Ca_00353,0.0,0.125965,0.0,0.103257
Ca_00354,0.0617783,0.0970241,0.0,0.0477519
Ca_00355,42.1364,78.0764,28.2139,33.8721
Ca_00356,0.0,0.0486592,0.737224,0.766464
Ca_00357,0.0,0.0,0.0350729,0.0
Ca_00358,0.141673,0.0744181,0.143831,0.107111
Ca_00359,0.725178,0.146682,59.9877,70.0171
Ca_00360,3.8004,1.78524,3.78961,3.63937
Ca_00361,0.245059,0.652149,15.7414,9.83941
Ca_00362,20.4155,2.72374,2.17617,6.03763
Ca_00363,57.0513,70.2143,54.3856,56.8709
Ca_00364,80.478,69.0146,52.9294,64.4418
Ca_00365,47.8262,48.9799,88.2286,86.2116
Ca_00366,0.0,0.0,0.0,0.0
Ca_00367,0.0,0.0829875,0.0369868,0.0726215
Ca_00368,2.44423,2.09481,4.21077,2.57002
Ca_00369,0.567791,0.42795,0.505961,0.774239
Ca_00370,11.8614,12.8079,24.063,21.549
Ca_00371,7.64471,34.5817,0.892496,2.59552
Ca_00372,82.7772,59.9037,98.3173,98.1543
Ca_00373,5.33077,3.41269,38.2266,34.0914
Ca_00374,0.0,0.0,0.0,0.0
Ca_00375,33.7003,22.0502,24.1431,19.3701
Ca_00376,128.17,194.127,157.749,195.098
Ca_00377,6.55674,3.75633,5.52937,3.99714
Ca_00378,11.262,8.85879,9.29583,7.50734
Ca_00379,6.20707,8.09283,19.7416,15.5114
Ca_00380,1.46274,2.41201,5.28135,4.5095
Ca_00381,0.147042,0.177335,0.663182,0.710302
Ca_00382,16.0404,14.4232,7.00062,9.2237
Ca_00383,7.26282,8.34943,8.60347,7.96574
Ca_00384,0.53186,0.409074,0.821091,0.673116
Ca_00385,2.43788,2.42836,11.7899,10.5674
Ca_00386,74.0921,91.1617,54.4056,51.919
Ca_00387,41.0778,69.6524,28.3856,32.7877
Ca_00388,13.9287,18.0827,15.1944,13.3103
Ca_00389,1.69551,2.5897,3.65263,3.30619
Ca_00390,15.1046,15.6299,10.4352,11.2577
Ca_00391,2.79363,2.72552,22.6749,26.8188
Ca_00392,0.0881741,0.163407,45.8349,56.8045
Ca_00393,0.0314291,0.0250446,0.462614,0.667555
Ca_00394,38.9177,29.0937,23.6439,21.2733
Ca_00395,286.855,353.794,147.626,209.317
Ca_00396,0.521385,1.4097,0.0573383,0.109528
Ca_00397,76.8929,22.2864,8.63731,8.90791
Ca_00398,394.831,81.9898,9.39323,10.9987
Ca_00399,25.3681,28.6983,21.0933,20.6981
Ca_00400,2.00564,1.12574,0.354854,0.707335
Ca_00401,29.1746,30.3487,27.1455,30.6026
Ca_00402,0.257996,0.0980395,0.0,0.18968
Ca_00403,7.20892,7.247,7.68908,7.44584
Ca_00404,0.0,0.0,0.0,0.0
Ca_00405,0.0,0.0,0.0,0.0
Ca_00406,0.0,0.0,0.0,0.0
Ca_00407,0.0,0.0,0.0,0.0
Ca_00408,0.0,0.0,0.0,0.0
Ca_00409,0.0,0.0,0.0,0.0
Ca_00410,0.0,0.0,0.0,0.0
Ca_00411,0.0,0.0,0.0,0.0
Ca_00412,0.0,0.0,0.0,0.0
Ca_00413,0.0,0.0,0.0,0.0
Ca_00414,13.7467,21.8909,11.7782,11.6355
Ca_00415,8.13488,10.0194,12.2504,11.1362
Ca_00416,10.2392,3.96357,9.88032,9.94323
Ca_00417,0.0853968,0.133016,0.192233,0.0
Ca_00418,0.294619,0.114095,4.01253,1.96902
Ca_00419,71.2615,68.027,64.5558,65.6899
Ca_00420,0.231696,0.242243,0.176777,0.0861994
Ca_00421,1.04276,1.38039,2.26895,2.54608
Ca_00422,9.81324,4.71489,16.0885,13.8086
Ca_00423,101.014,116.408,89.7955,94.7897
Ca_00424,34.9983,28.367,27.1288,25.2463
Ca_00425,5.74675,5.21941,23.7715,33.9804
Ca_00426,34.149,24.8413,14.4661,24.2596
Ca_00427,15.072,14.1706,6.82951,8.58282
Ca_00428,0.280642,0.138534,1.39008,0.829644
Ca_00429,95.85,47.2462,28.4351,30.8126
Ca_00430,0.0,0.0,0.118439,0.0
Ca_00431,16.0369,18.1722,11.7135,11.7749
Ca_00432,15.596,1.88769,16.0341,13.5355
Ca_00433,0.386663,2.28432,0.207583,1.26827
Ca_00434,56.8486,55.0257,53.586,55.6185
Ca_00435,56.8486,55.0257,53.586,55.6185
Ca_00436,1.31449,3.06418,3.56077,3.87483
Ca_00437,12.7048,15.5277,15.7001,17.9341
Ca_00438,45.0279,31.8055,18.5841,24.8353
Ca_00439,0.0,0.473594,0.099985,0.298107
Ca_00440,4.51255,9.01183,4.94927,6.3764
Ca_00441,9.22546,7.81008,13.029,10.9187
Ca_00442,65.0779,57.0014,30.1612,33.1999
Ca_00443,0.0,0.0,0.126811,0.0416566
Ca_00444,2.89168,7.94044,13.5775,9.53137
Ca_00445,0.251174,0.759834,2.40828,2.32891
Ca_00446,106.371,80.8199,86.3379,87.7103
Ca_00447,20.8438,27.1896,26.5646,26.3893
Ca_00448,17.3203,14.8807,138.342,132.253
Ca_00449,12.9908,15.3651,12.4843,11.6921
Ca_00450,12.9908,15.3651,12.4843,11.6921
Ca_00451,37.0892,20.3882,15.2889,15.3371
Ca_00452,2.9795,9.00036,14.2801,9.11651
Ca_00453,7.3317,6.11969,0.807354,2.11809
Ca_00454,5.23605,4.36998,15.2861,15.7057
Ca_00455,1.56428,1.73388,4.02389,2.93048
Ca_00456,8.11023,4.21337,2.26989,2.58894
Ca_00457,0.571129,0.000389861,1.07784,2.53701
Ca_00457,33.2445,19.3321,24.6452,24.8254
Ca_00458,40.2769,49.2302,26.6161,30.0473
Ca_00459,127.252,94.1056,83.6205,79.1582
Ca_00460,18.9261,21.18,20.2435,17.8036
Ca_00461,7.42969,2.41131,7.0449,18.1815
Ca_00462,10.1188,9.74188,93.5093,82.3746
Ca_00463,1.06808,0.947259,1.17067,1.45331
Ca_00464,3.61604,2.73851,0.413635,0.898138
Ca_00465,63.72,7.94839,0.0911591,0.0
Ca_00466,44.6101,34.5847,34.6865,43.4932
Ca_00467,6.16951,2.43394,3.22985,1.54941
Ca_00468,0.423461,0.212826,0.41607,0.235978
Ca_00469,7.59098,4.73942,11.8041,13.4278
Ca_00470,24.1383,34.2436,45.8769,38.0267
Ca_00471,24.1383,34.2436,45.8769,38.0267
Ca_00472,3.09488,1.62825,2.13717,1.86872
Ca_00473,0.0,0.0181556,0.0723713,0.0
Ca_00474,11.3219,10.471,15.4295,14.3889
Ca_00475,9.82711,2.09269,4.84343,4.65543
Ca_00476,42.4476,72.7981,42.8553,47.5649
Ca_00477,16.7349,24.4837,16.6671,17.4948
Ca_00478,41.1574,76.994,46.1139,48.2089
Ca_00479,14.4243,18.9369,5.84714,4.12414
Ca_00480,25.3524,19.3555,22.5971,18.8241
Ca_00481,2.71627,2.85514,5.28335,4.54416
Ca_00482,6.75147,7.14116,8.83137,9.81551
Ca_00483,19.4291,7.16595,12.2145,9.30802
Ca_00484,1.2664,0.123806,16.8941,8.85817
Ca_00484,6.17728,4.05745,12.2759,10.4966
Ca_00485,25.1576,37.4482,27.3927,21.5121
Ca_00486,8.40222,4.49729,6.83761,7.79132
Ca_00487,5.04504,3.22042,5.56774,3.34222
Ca_00488,19.5857,24.9881,28.1874,27.2783
Ca_00489,9.1028,7.78812,11.3546,10.5286
Ca_00490,45.4256,39.3902,27.7874,31.7861
Ca_00491,7.96061,7.675,5.33142,5.18008
Ca_00492,30.2853,29.3188,18.5848,22.4584
Ca_00493,4.10536,5.57032,3.90244,4.83722
Ca_00494,1.04719,3.46213,0.0,0.0790481
Ca_00495,20.0826,27.1902,0.0768474,0.0821645
Ca_00496,1.30809,0.890863,27.9256,26.8695
Ca_00497,275.972,419.539,290.615,297.521
Ca_00498,10.7406,9.64883,19.9019,19.4225
Ca_00499,19.0479,29.1959,7.98424,9.81115
Ca_00500,13.309,17.8166,24.8261,20.9881
Ca_00501,2.10602,1.32058,2.35459,2.36607
Ca_00502,35.1309,35.4735,17.8703,19.2036
Ca_00503,35.1309,35.4735,17.8703,19.2036
Ca_00504,16.3594,11.7206,24.3521,26.3716
Ca_00505,1.0902,1.2542,1.43081,1.31233
Ca_00506,35.2541,37.2022,27.9527,30.4791
Ca_00507,17.0988,4.76127,1724.97,1748.3
Ca_00508,0.0,0.0,0.0,0.0
Ca_00509,6.50215,6.37741,6.04911,4.57361
Ca_00510,71.8834,44.1756,20.3935,22.5901
Ca_00511,26.3394,23.0282,15.1561,14.1426
Ca_00512,5.29364,2.72201,7.50336,5.54468
Ca_00513,8.48194,10.0825,11.6047,11.465
Ca_00514,11.6704,4.95821,14.6713,12.7904
Ca_00515,15.3284,23.6171,19.3928,20.5115
Ca_00516,0.187827,0.189738,1.95063,1.01718
Ca_00517,5.61308,5.59938,16.6197,16.7253
Ca_00518,36.0642,40.3513,30.1692,27.9647
Ca_00519,30.835,29.6992,24.6197,22.5942
Ca_00520,5.16166,2.907,3.34367,3.57977
Ca_00521,0.0,0.0,0.0,0.0
Ca_00522,97.3189,50.8488,24.5987,21.044
Ca_00523,3.20549,2.63942,5.46228,3.59557
