Gene_identifier,Root-Control,Root-CS,Shoot-Control,Shoot-CS
Ca_14639,8.41331,4.77976,5.02402,3.71951
Ca_14640,0.0,0.0,0.0,0.0
Ca_14641,0.0,0.0,0.0,0.0
Ca_14642,156.937,553.594,22.8887,97.1299
Ca_14643,28.2648,21.5518,4.10717,3.501
Ca_14644,20.7678,17.5207,19.0922,25.3542
Ca_14645,25.802,22.5439,22.4866,17.7977
Ca_14646,32.1503,39.8388,55.2215,57.4985
Ca_14647,50.9534,39.6452,18.451,22.3185
Ca_14648,1.36678,1.56816,3.18752,4.1429
Ca_14649,1.5934,1.26233,5.09005,10.0562
Ca_14650,12.2528,8.79782,6.801,9.88508
Ca_14651,0.0,0.0,0.0,0.128952
Ca_14652,0.541777,0.936605,1.5777,1.0877
Ca_14653,19.5279,12.4848,20.5388,18.6055
Ca_14654,181.953,118.186,1.90493,2.94822
Ca_14655,0.0,0.0,0.0,0.0
Ca_14656,0.180967,0.0865294,1.73547,1.52749
Ca_14657,40.2805,21.4318,11.0051,18.2462
Ca_14658,3.46129,5.83452,10.5681,8.16511
Ca_14659,2.54777,13.7797,7.81238,9.89505
Ca_14660,4.04335,4.57023,12.9886,14.7735
Ca_14661,2.26593,3.31062,3.29099,4.08231
Ca_14662,188.886,226.693,346.29,359.326
Ca_14663,49.9001,73.593,79.7966,61.5741
Ca_14664,4.83523,3.84967,43.1097,46.2313
Ca_14665,4.86535,2.68398,27.0527,27.8118
Ca_14666,48.3978,31.6555,2.98647,3.11179
Ca_14667,9.65279,12.6563,9.20547,13.0695
Ca_14668,2.29316,5.12644,6.80412,6.14563
Ca_14669,13.378,20.6657,5.6707,6.74896
Ca_14670,40.3422,47.4957,24.7908,28.5536
Ca_14671,33.0944,55.8419,46.9974,44.582
Ca_14672,9.64695,10.8637,15.3576,14.2572
Ca_14673,1.66526,2.09189,4.00196,2.8132
Ca_14674,38.6815,21.7514,23.347,19.6098
Ca_14675,87.7297,120.014,44.9168,53.7737
Ca_14676,34.3303,28.5536,21.7794,25.0191
Ca_14677,0.589871,0.260434,6.64093,3.89992
Ca_14678,3.68757,2.33846,4.3985,3.41787
Ca_14679,4.42534,1.39387,0.0622667,0.0
Ca_14680,9.60739,10.322,8.05019,8.33621
Ca_14681,11.4574,11.0115,6.93893,9.35094
Ca_14682,20.5974,14.6447,12.5731,11.1057
Ca_14683,13.2218,26.4397,19.1042,13.1145
Ca_14684,7.11656,7.5792,8.5143,7.78505
Ca_14685,4.02148,5.58365,12.6014,16.5808
Ca_14686,0.18633,0.277633,0.0,0.137979
Ca_14687,2.74824,3.16464,0.0,0.0
Ca_14688,3.20765,3.92005,4.39277,4.56805
Ca_14689,109.616,126.268,69.7287,93.3425
Ca_14690,32.2011,31.3576,23.4858,27.8781
Ca_14691,2.71171,1.35929,0.0,0.0412962
Ca_14692,0.674451,0.779622,0.85611,0.848794
Ca_14693,13.1932,4.46223,27.7203,19.5893
Ca_14694,9.25833,22.0152,21.4349,16.8151
Ca_14695,2.306,1.26296,13.0767,9.72894
Ca_14696,30.5273,27.992,32.6027,30.1295
Ca_14697,0.0,0.0,0.0,0.0
Ca_14698,5.15312,4.60495,3.50751,2.54465
Ca_14699,3.30599,4.37003,5.0785,4.5322
Ca_14700,2.81458,2.23159,4.10955,2.7019
Ca_14701,6.94336,9.06642,6.95733,7.82344
Ca_14702,3.70162,5.49623,0.387356,0.281955
Ca_14703,12.4708,15.3438,4.81982,5.24145
Ca_14704,5.69263,12.3534,33.9175,67.1483
Ca_14705,0.0,0.0,0.0,0.0
Ca_14706,8.37811,16.2705,6.19885,2.25005
Ca_14707,0.199882,0.261696,0.447953,0.345859
Ca_14708,3.54249,3.48176,3.35457,2.83492
Ca_14709,13.4979,7.71385,25.9054,24.0934
Ca_14710,3.77173,4.89835,3.50887,2.68408
Ca_14711,0.0791092,0.137838,0.712732,0.524481
Ca_14712,12.204,12.3517,17.0515,12.9596
Ca_14713,0.0537181,0.209604,0.0,0.0
Ca_14714,12.204,12.3517,17.0515,12.9596
Ca_14715,17.9439,20.0669,72.8367,63.4442
Ca_14716,0.0524181,0.0404036,0.0,0.0
Ca_14717,123.297,131.036,1.67745,1.57487
Ca_14718,106.314,90.9499,66.993,89.2069
Ca_14719,12.629,1.96435,3.47794,4.53868
Ca_14720,99.2101,117.425,1.40695,1.41782
Ca_14721,1.45064,1.55546,2.40255,2.41798
Ca_14722,129.124,88.1493,76.1162,72.1351
Ca_14723,62.7024,58.1067,49.3159,48.7935
Ca_14724,0.0,0.338534,0.0,0.0
Ca_14725,0.0,0.0,0.0,0.0
Ca_14726,4.12285,2.10745,5.10542,5.5451
Ca_14727,6.7963,12.6816,9.77371,7.99475
Ca_14728,84.4241,108.026,2.00609,2.94064
Ca_14729,29.4787,27.9757,15.7797,16.6356
Ca_14730,8.13604,29.5783,12.9453,6.58759
Ca_14731,8.13604,29.5783,12.9453,6.58759
Ca_14732,71.2921,64.1498,76.2688,101.487
Ca_14733,2.28893,1.80349,43.8468,30.0678
Ca_14734,2.73646,1.49466,2.5001,4.95602
