Ca_ID,XLOC_ID,5912_AFL_C,5912_AFL_S,5912_AFR_C,5912_AFR_S,5912_BFL_C,5912_BFL_S,5912_BFR_C,5912_BFR_S
Ca_00011,XLOC_000171,10.4001,7.04302,9.99667,4.38783,7.66312,13.6817,8.54119,2.55937
Ca_00022,XLOC_000180,3.669,6.00904,3.01476,2.18858,2.98547,2.57567,6.462,2.40183
Ca_00024,XLOC_000181,23.3975,8.99484,4.30558,0.0,14.5929,15.2836,7.81635,4.40208
Ca_00034,XLOC_001796,23.0325,35.7609,32.1084,32.3517,26.681,32.4997,31.6627,32.4802
Ca_00039,XLOC_000190,16.2666,21.8093,13.7653,13.6358,22.2185,13.5118,15.3804,13.8067
Ca_00040,XLOC_001799,9.25234,9.52254,18.3033,16.2242,8.9454,10.9563,19.436,16.0211
Ca_00042,XLOC_001800,155.559,448.256,115.741,115.848,224.498,343.691,99.9068,103.46
Ca_00054,XLOC_000196,6.76063,5.42003,8.01539,5.18532,4.52394,7.97685,8.53025,5.44794
Ca_00056,XLOC_001808,50.935,81.2645,14.4148,13.3218,69.1238,66.7337,14.393,13.7332
Ca_00057,XLOC_001808,50.935,81.2645,14.4148,13.3218,69.1238,66.7337,14.393,13.7332
Ca_00060,XLOC_000199,22.7731,28.0768,18.5275,19.3496,40.4576,33.6581,17.8451,21.284
Ca_00063,XLOC_000200,5.77545,5.38647,17.1517,12.0815,3.58597,6.0774,16.5731,12.1377
Ca_00070,XLOC_001815,46.0326,45.1241,39.5571,35.2122,31.034,45.893,31.0791,30.5826
Ca_00080,XLOC_000210,25.3103,19.2023,6.45967,1.757,10.386,13.2711,5.67856,2.22814
Ca_00085,XLOC_001821,47.5241,107.007,56.5432,69.0985,90.3552,114.941,64.2441,75.8428
Ca_00092,XLOC_001823,1.10467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca_00094,XLOC_001824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca_00095,XLOC_000221,2.9745,3.40647,7.08477,4.74125,1.67652,1.9765,8.44695,5.13698
Ca_00097,XLOC_001826,154.896,111.664,169.486,168.522,63.7811,101.825,169.729,168.711
Ca_00101,XLOC_001830,0.0,0.0,1.15467,2.73601,1.57168,0.0,0.0,0.0
Ca_00102,XLOC_001831,3.50618,3.20381,36.4046,10.5045,2.01097,2.83978,34.9987,9.85191
Ca_00103,XLOC_000222,156.927,186.687,168.377,272.167,207.122,236.167,179.767,274.901
Ca_00104,XLOC_000224,1.30755,2.0961,8.82503,3.31684,0.0,0.0,9.46541,4.58717
Ca_00114,XLOC_000230,1.93336,1.49019,9.18377,4.96062,0.0,2.74408,8.38908,4.45732
Ca_00115,XLOC_001839,29.9526,12.364,21.1841,7.18861,6.08065,10.2952,22.7394,8.67983
Ca_00121,XLOC_001842,31.4453,105.309,26.5843,23.1311,80.0834,109.871,34.3049,23.8019
Ca_00124,XLOC_001844,592.364,579.223,47.1958,87.4305,475.473,526.608,48.0156,82.3399
Ca_00125,XLOC_001844,592.364,579.223,47.1958,87.4305,475.473,526.608,48.0156,82.3399
